epoch,acc_train,acc_val,best_acc_val
0.000000,0.760000,0.574000,0.574000
1.000000,0.680000,0.600000,0.600000
2.000000,0.680000,0.587000,0.600000
3.000000,0.660000,0.621000,0.621000
4.000000,0.640000,0.635000,0.635000
5.000000,0.880000,0.874000,0.874000
6.000000,0.900000,0.845000,0.874000
7.000000,0.820000,0.904000,0.904000
8.000000,0.880000,0.888000,0.904000
9.000000,0.980000,0.901000,0.904000
10.000000,0.900000,0.913000,0.913000
11.000000,0.900000,0.923000,0.923000
12.000000,0.900000,0.879000,0.923000
13.000000,0.960000,0.935000,0.935000
14.000000,0.840000,0.925000,0.935000
15.000000,0.940000,0.921000,0.935000
16.000000,0.980000,0.925000,0.935000
17.000000,0.900000,0.929000,0.935000
18.000000,0.960000,0.959000,0.959000
19.000000,1.000000,0.940000,0.959000
20.000000,0.940000,0.968000,0.968000
21.000000,1.000000,0.957000,0.968000
22.000000,0.980000,0.954000,0.968000
23.000000,0.960000,0.952000,0.968000
24.000000,0.960000,0.963000,0.968000
25.000000,1.000000,0.964000,0.968000
26.000000,0.960000,0.941000,0.968000
27.000000,0.960000,0.938000,0.968000
28.000000,1.000000,0.957000,0.968000
29.000000,0.960000,0.946000,0.968000
30.000000,0.960000,0.960000,0.968000
31.000000,0.980000,0.958000,0.968000
32.000000,0.960000,0.979000,0.979000
33.000000,1.000000,0.960000,0.979000
34.000000,1.000000,0.968000,0.979000
35.000000,0.960000,0.958000,0.979000
36.000000,0.980000,0.977000,0.979000
37.000000,0.920000,0.939000,0.979000
38.000000,0.960000,0.972000,0.979000
39.000000,0.960000,0.943000,0.979000
40.000000,0.980000,0.978000,0.979000
41.000000,0.980000,0.955000,0.979000
42.000000,1.000000,0.967000,0.979000
43.000000,1.000000,0.975000,0.979000
44.000000,0.980000,0.979000,0.979000
45.000000,0.960000,0.963000,0.979000
46.000000,0.940000,0.968000,0.979000
47.000000,0.980000,0.982000,0.982000
48.000000,1.000000,0.979000,0.982000
49.000000,0.960000,0.977000,0.982000
50.000000,1.000000,0.974000,0.982000
51.000000,1.000000,0.972000,0.982000
52.000000,0.960000,0.982000,0.982000
53.000000,1.000000,0.985000,0.985000
54.000000,0.980000,0.965000,0.985000
55.000000,1.000000,0.974000,0.985000
56.000000,1.000000,0.978000,0.985000
57.000000,1.000000,0.971000,0.985000
58.000000,0.960000,0.974000,0.985000
59.000000,1.000000,0.976000,0.985000
60.000000,1.000000,0.980000,0.985000
61.000000,0.980000,0.950000,0.985000
62.000000,0.940000,0.960000,0.985000
63.000000,0.980000,0.989000,0.989000
64.000000,0.960000,0.972000,0.989000
65.000000,1.000000,0.990000,0.990000
66.000000,0.920000,0.980000,0.990000
67.000000,0.960000,0.973000,0.990000
68.000000,0.960000,0.959000,0.990000
69.000000,0.980000,0.968000,0.990000
70.000000,1.000000,0.970000,0.990000
71.000000,0.940000,0.956000,0.990000
72.000000,1.000000,0.969000,0.990000
73.000000,0.980000,0.980000,0.990000
74.000000,0.940000,0.983000,0.990000
75.000000,1.000000,0.979000,0.990000
76.000000,0.980000,0.975000,0.990000
77.000000,0.960000,0.977000,0.990000
78.000000,0.980000,0.974000,0.990000
79.000000,0.960000,0.959000,0.990000
80.000000,1.000000,0.990000,0.990000
81.000000,0.980000,0.966000,0.990000
82.000000,0.940000,0.966000,0.990000
83.000000,0.940000,0.923000,0.990000
84.000000,0.920000,0.979000,0.990000
85.000000,1.000000,0.978000,0.990000
86.000000,0.980000,0.975000,0.990000
87.000000,1.000000,0.973000,0.990000
88.000000,0.940000,0.978000,0.990000
89.000000,1.000000,0.975000,0.990000
90.000000,0.980000,0.988000,0.990000
91.000000,0.960000,0.960000,0.990000
92.000000,0.960000,0.968000,0.990000
93.000000,1.000000,0.983000,0.990000
94.000000,0.980000,0.958000,0.990000
95.000000,0.960000,0.960000,0.990000
96.000000,0.960000,0.954000,0.990000
97.000000,0.940000,0.947000,0.990000
98.000000,1.000000,0.975000,0.990000
99.000000,1.000000,0.993000,0.993000
100.000000,0.980000,0.979000,0.993000
101.000000,0.960000,0.973000,0.993000
102.000000,0.980000,0.990000,0.993000
103.000000,1.000000,0.980000,0.993000
104.000000,1.000000,0.992000,0.993000
105.000000,1.000000,0.990000,0.993000
106.000000,0.980000,0.979000,0.993000
107.000000,1.000000,0.981000,0.993000
108.000000,1.000000,0.967000,0.993000
109.000000,0.980000,0.973000,0.993000
110.000000,1.000000,0.973000,0.993000
111.000000,1.000000,0.988000,0.993000
112.000000,0.960000,0.975000,0.993000
113.000000,0.980000,0.983000,0.993000
114.000000,0.960000,0.974000,0.993000
115.000000,1.000000,0.978000,0.993000
116.000000,0.980000,0.988000,0.993000
117.000000,0.980000,0.988000,0.993000
118.000000,0.980000,0.987000,0.993000
119.000000,0.980000,0.984000,0.993000
120.000000,1.000000,0.981000,0.993000
121.000000,1.000000,0.984000,0.993000
122.000000,0.980000,0.970000,0.993000
123.000000,1.000000,0.990000,0.993000
124.000000,0.960000,0.984000,0.993000
125.000000,0.960000,0.985000,0.993000
126.000000,1.000000,0.975000,0.993000
127.000000,1.000000,0.973000,0.993000
128.000000,0.960000,0.983000,0.993000
129.000000,0.980000,0.986000,0.993000
130.000000,1.000000,0.964000,0.993000
131.000000,0.960000,0.978000,0.993000
132.000000,1.000000,0.977000,0.993000
133.000000,0.960000,0.958000,0.993000
134.000000,1.000000,0.991000,0.993000
135.000000,0.960000,0.963000,0.993000
136.000000,0.960000,0.970000,0.993000
137.000000,1.000000,0.977000,0.993000
138.000000,1.000000,0.985000,0.993000
139.000000,0.980000,0.962000,0.993000
140.000000,1.000000,0.991000,0.993000
141.000000,0.960000,0.982000,0.993000
142.000000,1.000000,0.987000,0.993000
143.000000,1.000000,0.980000,0.993000
144.000000,1.000000,0.986000,0.993000
145.000000,1.000000,0.984000,0.993000
146.000000,1.000000,0.977000,0.993000
147.000000,1.000000,0.990000,0.993000
148.000000,0.960000,0.967000,0.993000
149.000000,1.000000,0.982000,0.993000
150.000000,1.000000,0.986000,0.993000
151.000000,0.980000,0.972000,0.993000
152.000000,1.000000,0.982000,0.993000
153.000000,1.000000,0.987000,0.993000
154.000000,0.980000,0.978000,0.993000
155.000000,0.980000,0.992000,0.993000
156.000000,0.980000,0.965000,0.993000
157.000000,0.960000,0.973000,0.993000
158.000000,0.980000,0.969000,0.993000
159.000000,1.000000,0.979000,0.993000
160.000000,0.980000,0.986000,0.993000
161.000000,0.960000,0.971000,0.993000
162.000000,0.960000,0.989000,0.993000
163.000000,1.000000,0.975000,0.993000
164.000000,0.980000,0.975000,0.993000
165.000000,0.980000,0.985000,0.993000
166.000000,1.000000,0.963000,0.993000
167.000000,1.000000,0.987000,0.993000
168.000000,1.000000,0.968000,0.993000
169.000000,0.980000,0.986000,0.993000
170.000000,1.000000,0.979000,0.993000
171.000000,1.000000,0.989000,0.993000
172.000000,0.940000,0.964000,0.993000
173.000000,1.000000,0.970000,0.993000
174.000000,0.980000,0.981000,0.993000
175.000000,1.000000,0.991000,0.993000
176.000000,1.000000,0.978000,0.993000
177.000000,1.000000,0.987000,0.993000
178.000000,0.960000,0.985000,0.993000
179.000000,0.980000,0.987000,0.993000
180.000000,1.000000,0.978000,0.993000
181.000000,1.000000,0.983000,0.993000
182.000000,0.980000,0.960000,0.993000
183.000000,1.000000,0.985000,0.993000
184.000000,1.000000,0.981000,0.993000
185.000000,1.000000,0.980000,0.993000
186.000000,0.960000,0.980000,0.993000
187.000000,0.980000,0.983000,0.993000
188.000000,1.000000,0.980000,0.993000
189.000000,0.980000,0.973000,0.993000
190.000000,1.000000,0.974000,0.993000
191.000000,1.000000,0.980000,0.993000
192.000000,0.980000,0.980000,0.993000
193.000000,1.000000,0.981000,0.993000
194.000000,0.980000,0.968000,0.993000
195.000000,1.000000,0.990000,0.993000
196.000000,0.960000,0.975000,0.993000
197.000000,0.980000,0.974000,0.993000
198.000000,0.980000,0.959000,0.993000
199.000000,1.000000,0.980000,0.993000
200.000000,1.000000,0.984000,0.993000
201.000000,0.980000,0.983000,0.993000
202.000000,0.960000,0.971000,0.993000
203.000000,0.980000,0.978000,0.993000
204.000000,1.000000,0.973000,0.993000
205.000000,0.980000,0.980000,0.993000
206.000000,0.980000,0.966000,0.993000
207.000000,1.000000,0.977000,0.993000
208.000000,1.000000,0.984000,0.993000
209.000000,0.980000,0.984000,0.993000
210.000000,0.980000,0.985000,0.993000
211.000000,1.000000,0.984000,0.993000
212.000000,1.000000,0.973000,0.993000
213.000000,0.980000,0.967000,0.993000
214.000000,1.000000,0.981000,0.993000
215.000000,0.980000,0.970000,0.993000
216.000000,1.000000,0.983000,0.993000
217.000000,0.980000,0.977000,0.993000
218.000000,0.980000,0.985000,0.993000
219.000000,1.000000,0.982000,0.993000
220.000000,1.000000,0.971000,0.993000
221.000000,0.980000,0.975000,0.993000
222.000000,1.000000,0.981000,0.993000
223.000000,0.980000,0.983000,0.993000
224.000000,0.980000,0.983000,0.993000
225.000000,1.000000,0.971000,0.993000
226.000000,1.000000,0.971000,0.993000
227.000000,1.000000,0.983000,0.993000
228.000000,0.980000,0.962000,0.993000
229.000000,1.000000,0.965000,0.993000
230.000000,1.000000,0.988000,0.993000
231.000000,0.980000,0.972000,0.993000
232.000000,1.000000,0.978000,0.993000
233.000000,0.980000,0.977000,0.993000
234.000000,1.000000,0.985000,0.993000
235.000000,1.000000,0.977000,0.993000
236.000000,1.000000,0.992000,0.993000
237.000000,1.000000,0.970000,0.993000
238.000000,1.000000,0.989000,0.993000
239.000000,1.000000,0.969000,0.993000
240.000000,1.000000,0.983000,0.993000
241.000000,1.000000,0.984000,0.993000
242.000000,0.980000,0.972000,0.993000
243.000000,0.980000,0.980000,0.993000
244.000000,0.940000,0.977000,0.993000
245.000000,0.980000,0.972000,0.993000
246.000000,1.000000,0.982000,0.993000
247.000000,1.000000,0.967000,0.993000
248.000000,0.980000,0.972000,0.993000
249.000000,1.000000,0.979000,0.993000
250.000000,1.000000,0.992000,0.993000
251.000000,0.960000,0.979000,0.993000
252.000000,1.000000,0.983000,0.993000
253.000000,0.980000,0.991000,0.993000
254.000000,0.960000,0.976000,0.993000
255.000000,1.000000,0.978000,0.993000
256.000000,0.980000,0.988000,0.993000
257.000000,1.000000,0.970000,0.993000
258.000000,1.000000,0.981000,0.993000
259.000000,0.960000,0.987000,0.993000
260.000000,0.980000,0.970000,0.993000
261.000000,0.980000,0.989000,0.993000
262.000000,0.980000,0.964000,0.993000
263.000000,0.980000,0.985000,0.993000
264.000000,0.980000,0.982000,0.993000
265.000000,0.980000,0.985000,0.993000
266.000000,1.000000,0.988000,0.993000
267.000000,0.980000,0.967000,0.993000
268.000000,0.980000,0.963000,0.993000
269.000000,1.000000,0.993000,0.993000
270.000000,0.980000,0.977000,0.993000
271.000000,1.000000,0.982000,0.993000
272.000000,1.000000,0.984000,0.993000
273.000000,1.000000,0.976000,0.993000
274.000000,0.980000,0.984000,0.993000
275.000000,1.000000,0.975000,0.993000
276.000000,0.980000,0.967000,0.993000
277.000000,1.000000,0.977000,0.993000
278.000000,1.000000,0.972000,0.993000
279.000000,1.000000,0.983000,0.993000
280.000000,1.000000,0.968000,0.993000
281.000000,1.000000,0.984000,0.993000
282.000000,0.960000,0.982000,0.993000
283.000000,0.980000,0.967000,0.993000
284.000000,1.000000,0.988000,0.993000
285.000000,0.980000,0.978000,0.993000
286.000000,1.000000,0.993000,0.993000
287.000000,0.980000,0.983000,0.993000
288.000000,0.980000,0.978000,0.993000
289.000000,0.980000,0.990000,0.993000
290.000000,0.980000,0.980000,0.993000
291.000000,0.980000,0.986000,0.993000
292.000000,0.980000,0.984000,0.993000
293.000000,0.960000,0.988000,0.993000
294.000000,1.000000,0.985000,0.993000
295.000000,1.000000,0.990000,0.993000
296.000000,1.000000,0.973000,0.993000
297.000000,0.980000,0.983000,0.993000
298.000000,1.000000,0.962000,0.993000
299.000000,1.000000,0.969000,0.993000
300.000000,1.000000,0.986000,0.993000
301.000000,1.000000,0.992000,0.993000
302.000000,1.000000,0.992000,0.993000
303.000000,0.980000,0.976000,0.993000
304.000000,0.980000,0.989000,0.993000
305.000000,1.000000,0.988000,0.993000
306.000000,0.980000,0.988000,0.993000
307.000000,1.000000,0.988000,0.993000
308.000000,1.000000,0.979000,0.993000
309.000000,0.980000,0.978000,0.993000
310.000000,1.000000,0.974000,0.993000
311.000000,0.980000,0.987000,0.993000
312.000000,0.980000,0.975000,0.993000
313.000000,0.940000,0.978000,0.993000
314.000000,0.980000,0.990000,0.993000
315.000000,1.000000,0.982000,0.993000
316.000000,1.000000,0.972000,0.993000
317.000000,1.000000,0.975000,0.993000
318.000000,1.000000,0.991000,0.993000
319.000000,1.000000,0.981000,0.993000
320.000000,1.000000,0.976000,0.993000
321.000000,1.000000,0.985000,0.993000
322.000000,1.000000,0.982000,0.993000
323.000000,0.980000,0.985000,0.993000
324.000000,1.000000,0.983000,0.993000
325.000000,0.980000,0.990000,0.993000
326.000000,1.000000,0.987000,0.993000
327.000000,1.000000,0.991000,0.993000
328.000000,0.980000,0.977000,0.993000
329.000000,0.960000,0.989000,0.993000
330.000000,0.980000,0.970000,0.993000
331.000000,1.000000,0.993000,0.993000
332.000000,1.000000,0.984000,0.993000
333.000000,0.980000,0.987000,0.993000
334.000000,0.980000,0.983000,0.993000
335.000000,0.980000,0.991000,0.993000
336.000000,1.000000,0.977000,0.993000
337.000000,1.000000,0.977000,0.993000
338.000000,1.000000,0.978000,0.993000
339.000000,0.980000,0.968000,0.993000
340.000000,0.960000,0.958000,0.993000
341.000000,1.000000,0.990000,0.993000
342.000000,0.960000,0.978000,0.993000
343.000000,0.980000,0.957000,0.993000
344.000000,0.980000,0.978000,0.993000
345.000000,1.000000,0.984000,0.993000
346.000000,0.960000,0.989000,0.993000
347.000000,0.980000,0.978000,0.993000
348.000000,1.000000,0.980000,0.993000
349.000000,0.980000,0.969000,0.993000
350.000000,1.000000,0.969000,0.993000
351.000000,1.000000,0.985000,0.993000
352.000000,1.000000,0.976000,0.993000
353.000000,0.980000,0.986000,0.993000
354.000000,1.000000,0.976000,0.993000
355.000000,1.000000,0.987000,0.993000
356.000000,1.000000,0.978000,0.993000
357.000000,1.000000,0.979000,0.993000
358.000000,1.000000,0.969000,0.993000
359.000000,1.000000,0.984000,0.993000
360.000000,1.000000,0.983000,0.993000
361.000000,1.000000,0.987000,0.993000
