episode,discreward
100,-24.2737769129
200,-23.4806973191
300,-22.9581747479
400,-22.8947060871
500,-25.7104248492
600,-27.3029029301
700,-26.6291192246
800,-26.8549177370
900,-21.4572989608
1000,-25.5894201172
1100,-26.5808264369
1200,-21.0878647793
1300,-25.9319225023
1400,-25.9765527389
1500,-23.2778433868
1600,-25.0920659517
1700,-19.9471680735
1800,-22.7556462754
1900,-24.7864076356
2000,-24.6232339953
2100,-23.5992102141
2200,-26.6346496477
2300,-22.0059613992
2400,-24.4374137718
2500,-28.3136278426
2600,-25.5643066579
2700,-28.8164745669
2800,-20.9502079963
2900,-16.5901849307
3000,-26.5608420947
3100,-23.3581550811
3200,-24.6112832801
3300,-22.9533414466
3400,-24.7294721677
3500,-25.9578221630
3600,-22.6204366685
3700,-21.8405552314
3800,-27.1905694300
3900,-23.8594189811
4000,-20.3825690188
4100,-20.9891236815
4200,-22.2807780258
4300,-20.7335400854
4400,-27.2440673529
4500,-26.0034467811
4600,-20.2289376929
4700,-19.4818300554
4800,-22.5285175886
4900,-27.1776441813
5000,-19.6836424634
5100,-24.9998248812
5200,-22.8444636635
5300,-26.4930971611
5400,-21.4398450203
5500,-20.0807218043
5600,-20.9350090978
5700,-25.6614417019
5800,-20.8979722369
5900,-25.2517173134
6000,-24.5741943775
6100,-21.7267929665
6200,-21.4038415306
6300,-20.2035574740
6400,-25.1987203784
6500,-20.5280306202
6600,-25.5943223789
6700,-19.2443343684
6800,-25.5828817929
6900,-18.6253165671
7000,-21.4763554116
7100,-20.0871031511
7200,-26.0816015165
7300,-19.6296410159
7400,-19.6175605519
7500,-22.7312622115
7600,-18.9413570942
7700,-21.2547162333
7800,-21.3112029333
7900,-22.5870166524
8000,-18.0516533618
8100,-21.4912545576
8200,-13.4663234165
8300,-21.0040386905
8400,-26.6940528889
8500,-25.6481617871
8600,-15.5270574024
8700,-17.8246878360
8800,-20.4541917264
8900,-21.0292006858
9000,-28.3573385261
9100,-21.1448224082
9200,-23.3333744752
9300,-23.2244850367
9400,-16.4402595423
9500,-20.4259073435
9600,-23.5462091325
9700,-20.1089187342
9800,-20.6653081207
9900,-16.7687907860
10000,-16.9721013610
10100,-21.4384330350
10200,-24.2517629005
10300,-18.9536687377
10400,-23.1821624739
10500,-14.7287018392
10600,-24.1932352936
10700,-20.4685217961
10800,-22.8901317525
10900,-18.4677640633
11000,-22.3437910466
11100,-20.9378182369
11200,-21.3503037599
11300,-21.8632023334
11400,-23.9613780709
11500,-21.3181498849
11600,-20.1131463547
11700,-14.2321234309
11800,-17.3245037655
11900,-16.5661090572
12000,-24.3540464671
12100,-18.4750770403
12200,-12.2791556473
12300,-20.7331932166
12400,-13.8204321920
12500,-18.5883963004
12600,-20.2559769120
12700,-16.5140710637
12800,-19.2542645742
12900,-16.4832626495
13000,-18.8743562094
13100,-15.7480409441
13200,-23.9101396981
13300,-20.3458162467
