step,stock0,stock1,stock2,stock3,stock4
0,89.044,100.269,29.642,105.151,89.449
1,72.634,96.291,19.199,221.608,55.633
2,57.624,92.652,9.647,275.193,94.703
3,42.235,88.922,69.854,196.849,62.993
4,27.002,85.229,60.160,249.301,101.604
5,10.082,81.127,49.393,363.161,66.738
6,62.406,76.842,38.145,273.177,30.316
7,45.411,72.722,27.330,316.655,65.295
8,27.291,68.329,15.799,354.411,97.959
9,10.889,64.353,75.361,270.909,64.160
10,63.999,60.258,64.613,184.922,29.356
11,48.216,56.432,54.569,234.573,66.834
12,30.145,52.052,43.070,342.576,29.597
13,13.074,47.913,32.206,385.669,64.420
14,66.770,43.961,21.831,302.668,30.824
15,50.965,40.129,11.773,352.201,68.254
16,34.432,36.121,71.252,268.038,34.188
17,19.211,32.431,61.566,320.549,72.824
18,3.612,98.650,51.640,371.136,40.680
19,57.183,94.667,41.185,287.496,6.826
20,41.532,90.873,31.225,337.818,44.576
21,25.402,86.962,20.960,385.700,81.337
22,7.849,82.707,9.791,426.343,115.169
23,62.753,79.047,0.184,349.491,84.062
24,44.857,74.709,58.795,258.382,47.185
25,29.265,70.929,48.873,309.003,85.055
26,12.084,66.764,37.940,351.536,119.652
27,66.869,63.075,28.258,274.079,88.300
28,50.036,128.995,17.545,318.382,53.613
29,33.843,125.069,7.241,365.948,90.247
