iteration,discreward
0,-1.8504099678
20,-1.2171377904
40,-0.8213987667
60,-0.7599972543
80,-0.4612155683
100,-0.2786526830
120,-0.2642220698
140,-0.1834814470
160,-0.1357272594
180,-0.1111337872
200,-0.0842808555
220,-0.0576194936
240,-0.0562397614
260,-0.0615134339
280,-0.0644799223
300,-0.0470617972
320,-0.0634809959
340,-0.0333546970
360,-0.0268870767
380,-0.0373102694
400,-0.1054528286
420,-0.0466575707
440,-0.0819599695
460,-0.0589059170
480,-0.0641175467
500,-0.0413550795
520,-0.0696943140
540,-0.0508275450
560,-0.0555115123
580,-0.0402996170
600,-0.0760356370
620,-0.0340730399
640,-0.0516678388
660,-0.0862359792
680,-0.0635005114
700,-0.0342398486
720,-0.0290573076
740,-0.0264255516
760,-0.0440920639
780,-0.0514034736
800,-0.0151039689
820,-0.0220615239
840,-0.0550053984
860,-0.0901936733
880,-0.0569811295
900,-0.0628235754
920,-0.1656477414
940,-0.0744733060
960,-0.0431023528
980,-0.0397907721
1000,-0.0666231430
1020,-0.0800439467
1040,-0.0798372047
1060,-0.0495009666
1080,-0.0405093099
1100,-0.0433753275
1120,-0.0355203274
1140,-0.0605097184
1160,-0.0388186696
1180,-0.0433540930
1200,-0.0499193162
1220,-0.0545487782
1240,-0.0464316777
1260,-0.1047102251
1280,-0.0435254139
1300,-0.0634316951
1320,-0.0276444553
1340,-0.0789216615
1360,-0.0536211185
1380,-0.0934550883
1400,-0.0514442655
1420,-0.0329362778
1440,-0.0155386738
1460,-0.0483466789
1480,-0.0302178610
1500,-0.0343363214
1520,-0.0357240322
1540,-0.0592706049
1560,-0.0238687843
1580,-0.0217924995
1600,-0.0663552159
1620,-0.0485201874
1640,-0.0468580480
1660,-0.0303701707
1680,-0.0311752891
1700,-0.0194847950
1720,-0.0338956488
1740,-0.0413791709
1760,-0.0411188564
1780,-0.0443586232
1800,-0.0218540686
1820,-0.0577662589
1840,-0.0292485189
1860,-0.0294591541
1880,-0.0190827959
1900,-0.0397963714
1920,-0.0414566169
1940,-0.0422580629
1960,-0.0379952248
1980,-0.0461323057
2000,-0.0375107639
2020,-0.0738420244
2040,-0.0370579378
2060,-0.0612870617
2080,-0.0492818938
2100,-0.0294382639
2120,-0.0601997103
2140,-0.0366713778
2160,-0.0431620749
2180,-0.0448485379
2200,-0.0343688595
2220,-0.0603661317
2240,-0.0379577824
2260,-0.0565490874
2280,-0.0491035492
2300,-0.0337667164
2320,-0.0297384725
2340,-0.0823700679
2360,-0.0418261589
2380,-0.0412277977
2400,-0.0452996018
2420,-0.0387416336
2440,-0.0397790548
2460,-0.0400751294
2480,-0.0337439222
2500,-0.0498612624
2520,-0.0376685505
2540,-0.0422881089
2560,-0.0788401873
2580,-0.0526677455
2600,-0.0522528255
2620,-0.0410954256
2640,-0.0778491560
2660,-0.0647873779
2680,-0.0475611045
2700,-0.0191577895
2720,-0.0663067605
2740,-0.0517616895
2760,-0.0221697361
2780,-0.0489269128
2800,-0.0350862661
2820,-0.0325563474
2840,-0.0331195955
2860,-0.0574298285
2880,-0.0563550244
2900,-0.0299010483
2920,-0.0425356227
2940,-0.0943309519
2960,-0.0524761074
2980,-0.0441313210
3000,-0.0577322036
3020,-0.0345044574
3040,-0.0329784443
3060,-0.0450905129
3080,-0.0467070911
3100,-0.0378249087
3120,-0.0448395483
3140,-0.0254172873
3160,-0.0306898218
3180,-0.0387230017
3200,-0.0553098483
3220,-0.0448439346
3240,-0.0740323750
3260,-0.0263351808
3280,-0.0259117538
3300,-0.0481467054
3320,-0.0295909183
3340,-0.0216351740
3360,-0.0280446250
3380,-0.0498117271
3400,-0.0937263333
3420,-0.0524295149
3440,-0.0238702347
3460,-0.0231834025
3480,-0.0364498646
3500,-0.0169433212
3520,-0.0204839536
3540,-0.0336848101
3560,-0.0750573681
3580,-0.0481959401
3600,-0.0445275075
3620,-0.0198271734
3640,-0.0582452559
3660,-0.0338382656
3680,-0.0307038739
3700,-0.0453891265
3720,-0.0454265601
3740,-0.0646128235
3760,-0.0690565584
3780,-0.0287030360
3800,-0.0316605448
3820,-0.0253134170
3840,-0.0175900085
3860,-0.0531877342
3880,-0.0148614605
3900,-0.0356687457
3920,-0.0751107472
3940,-0.0658990637
3960,-0.0442247295
3980,-0.0209153336
4000,-0.0508429532
4020,-0.0288224190
4040,-0.0541800958
4060,-0.0881735813
4080,-0.0254763124
4100,-0.0539669934
4120,-0.0412518279
4140,-0.0489116887
4160,-0.0220833722
4180,-0.0566047266
4200,-0.0442585316
4220,-0.0200666655
4240,-0.0200409620
4260,-0.0463891662
4280,-0.0377165831
4300,-0.0381116041
4320,-0.0372817985
4340,-0.0374817498
4360,-0.0505476197
4380,-0.0229590612
4400,-0.0254053425
4420,-0.0245273487
4440,-0.0361475183
4460,-0.0992741979
4480,-0.0654081597
4500,-0.0747795710
4520,-0.0592580895
4540,-0.0372625927
4560,-0.0608822304
4580,-0.0294797387
4600,-0.0874889888
4620,-0.0402531711
4640,-0.0180419372
4660,-0.0290349124
4680,-0.0364733400
4700,-0.0520085564
4720,-0.0346052167
4740,-0.0350496550
4760,-0.0366313113
4780,-0.0380956018
4800,-0.0540981018
4820,-0.0523725872
4840,-0.0236125925
4860,-0.0388565008
4880,-0.0355285563
4900,-0.0533865044
4920,-0.0386304531
4940,-0.0508193347
4960,-0.0353246072
4980,-0.0323977405
5000,-0.0127983490
5020,-0.0294238468
5040,-0.0292423557
5060,-0.0249260091
5080,-0.0210690433
5100,-0.0210902317
5120,-0.0501264339
5140,-0.0547268036
5160,-0.0331509822
5180,-0.0351380196
5200,-0.0510488852
5220,-0.0492309261
5240,-0.0368925521
5260,-0.0424990234
5280,-0.0458243293
5300,-0.0382213144
5320,-0.0556300861
5340,-0.0467328464
5360,-0.0408502818
5380,-0.0498917910
5400,-0.0258202109
5420,-0.0158118996
5440,-0.0249123965
5460,-0.0261271180
5480,-0.0408140440
5500,-0.0265100143
5520,-0.0719351886
5540,-0.0338524243
5560,-0.0306466148
5580,-0.0737464084
5600,-0.0764444551
5620,-0.0422423928
5640,-0.0333248815
5660,-0.0456177742
5680,-0.0397247707
5700,-0.0488145023
5720,-0.0191932668
5740,-0.0556148204
5760,-0.0472511067
5780,-0.0566921879
5800,-0.0353764543
5820,-0.0308147776
5840,-0.0502951259
5860,-0.0534169979
5880,-0.0344134788
5900,-0.0577897580
5920,-0.0221459147
5940,-0.0189154747
5960,-0.0288781965
5980,-0.0343763950
6000,-0.0151829454
6020,-0.0304966844
6040,-0.0250826250
6060,-0.0482306112
6080,-0.0539352869
6100,-0.0751286296
6120,-0.0478406716
6140,-0.0565539396
6160,-0.0458368552
6180,-0.0416857492
6200,-0.0802498743
6220,-0.0291422944
6240,-0.0327777639
6260,-0.0540421285
6280,-0.0379862245
6300,-0.0394565220
6320,-0.0415600944
6340,-0.0211716534
6360,-0.0650510909
6380,-0.0460610394
6400,-0.0392720163
6420,-0.0369373328
6440,-0.0360042366
6460,-0.0285317199
6480,-0.0301517841
6500,-0.0315844400
6520,-0.0260112559
6540,-0.0283450708
6560,-0.0549006550
6580,-0.0499159966
6600,-0.0436191333
6620,-0.0706017392
6640,-0.0508985446
6660,-0.0312476370
6680,-0.0312601114
6700,-0.0649643839
6720,-0.1913917594
6740,-0.0482877996
6760,-0.0306897781
6780,-0.0283783846
6800,-0.0379413321
6820,-0.0406584845
6840,-0.0668774418
6860,-0.0363201305
6880,-0.0453956844
6900,-0.0215126300
6920,-0.0556063313
6940,-0.0512234239
6960,-0.0299159296
6980,-0.0441502771
7000,-0.0372731054
7020,-0.0215332414
7040,-0.0332402352
7060,-0.0601108415
7080,-0.0481594561
7100,-0.0442921551
7120,-0.0554041789
7140,-0.0261780766
7160,-0.0364483429
7180,-0.0361454313
7200,-0.0596436238
7220,-0.0418650688
7240,-0.0417620507
7260,-0.0520257529
7280,-0.0442433898
7300,-0.0520734025
7320,-0.0284615542
7340,-0.0464150116
7360,-0.0478236192
7380,-0.0529313692
7400,-0.0438128284
7420,-0.0337256282
7440,-0.0728394599
7460,-0.0570521501
7480,-0.0384386306
7500,-0.0498848345
7520,-0.0315526407
7540,-0.0635727369
7560,-0.0169646870
7580,-0.0308936385
7600,-0.0311041799
7620,-0.0329154895
7640,-0.0541308321
7660,-0.0346360902
7680,-0.0206961394
7700,-0.0135277205
7720,-0.0624244003
7740,-0.0281232420
7760,-0.0156618551
7780,-0.0264950692
7800,-0.0408596815
7820,-0.0490886261
7840,-0.0786438305
7860,-0.0373294236
7880,-0.0287044872
7900,-0.0438199989
7920,-0.0176489428
7940,-0.0298139095
7960,-0.0306121625
7980,-0.0425481623
8000,-0.0331047956
8020,-0.0340845561
8040,-0.0338981046
8060,-0.0234566395
8080,-0.0283623890
8100,-0.0391361933
8120,-0.0270243566
8140,-0.0233122107
8160,-0.0178937156
8180,-0.0329348683
8200,-0.0349972076
8220,-0.0584761353
8240,-0.0255689679
8260,-0.0626176493
8280,-0.0183546089
8300,-0.0475698776
8320,-0.0226400294
8340,-0.0343180393
8360,-0.0313724138
8380,-0.0319758912
8400,-0.0411094411
8420,-0.0128180095
8440,-0.0455658458
8460,-0.0233038777
8480,-0.0229084281
8500,-0.0222003707
8520,-0.0229451466
8540,-0.0468735571
8560,-0.0605783525
8580,-0.0204355812
8600,-0.0221021917
8620,-0.0429135457
8640,-0.0757200001
8660,-0.1372406801
8680,-0.0739565377
8700,-0.0542485858
8720,-0.0369365753
8740,-0.0362977444
8760,-0.0717291028
8780,-0.0668656569
8800,-0.0378104742
8820,-0.0290878082
8840,-0.0400606034
8860,-0.0206342889
8880,-0.0297397942
8900,-0.0629808082
8920,-0.1844982867
8940,-0.0892268072
8960,-0.0701016723
8980,-0.0581994685
9000,-0.0385811440
9020,-0.0189299184
9040,-0.0608822180
9060,-0.0399123992
9080,-0.0359196856
9100,-0.0535588107
9120,-0.0518041992
9140,-0.0309517488
9160,-0.0421387735
9180,-0.0434926431
9200,-0.0326791672
9220,-0.0625826969
9240,-0.0332579611
9260,-0.0742218705
