episode,discreward
100,-24.2692743363
200,-21.7121989782
300,-22.8563876019
400,-22.1856748664
500,-22.7862000890
600,-24.0144693676
700,-24.6288523993
800,-25.6581687178
900,-22.5033249049
1000,-20.1362169018
1100,-23.9640572613
1200,-19.6077168973
1300,-20.9339541237
1400,-24.6516386019
1500,-20.6245051192
1600,-24.2688167676
1700,-18.2765095858
1800,-22.7503510596
1900,-20.3611345900
2000,-22.9565209696
2100,-21.4779512642
2200,-17.3525757242
2300,-20.2237429438
2400,-21.9682638599
2500,-21.6603976074
2600,-21.5311126184
2700,-20.7688399430
2800,-19.4783179181
2900,-15.2019408063
3000,-23.4108923066
3100,-18.1118841209
3200,-18.6760324846
3300,-17.0052890152
3400,-20.8823925309
3500,-20.2925941960
3600,-18.5584325266
3700,-18.8590508642
3800,-20.2698799273
3900,-16.7996231684
4000,-17.1046214705
4100,-14.2651374639
4200,-18.0097945160
4300,-15.7175822954
4400,-23.2542474762
4500,-19.6753118034
4600,-16.3769994215
4700,-15.9114714607
4800,-13.6303172156
4900,-22.1955707630
5000,-16.9970543553
5100,-21.2639247461
5200,-14.0524988989
5300,-18.2766454615
5400,-18.3818087370
5500,-12.2922276465
5600,-14.5154257877
5700,-17.5809616650
5800,-17.3723833403
5900,-17.6816821440
6000,-15.2385509440
6100,-18.5847666312
6200,-16.4223718073
6300,-17.7457643639
6400,-18.0772807265
6500,-13.2187730854
6600,-17.4855146956
6700,-13.3994405993
6800,-20.4434347530
6900,-16.5672103941
7000,-14.3318837684
7100,-18.0254639518
7200,-22.7070805287
7300,-16.4775278493
7400,-15.9348338255
7500,-15.1251889383
7600,-15.8995785328
7700,-11.5743399606
7800,-15.2701983869
7900,-13.9168785208
8000,-15.6989511271
8100,-12.7650338433
8200,-11.7549915847
8300,-15.5070019751
8400,-13.1157175339
8500,-16.3955426761
8600,-12.2671064180
8700,-9.2203481925
8800,-13.0754941715
8900,-14.2619440354
9000,-17.5525569019
9100,-17.3983197545
9200,-13.4426361658
9300,-15.6978553881
9400,-15.0775924514
9500,-14.2298381733
9600,-13.0732076002
9700,-13.6710998145
9800,-10.7347179390
9900,-14.7356636002
10000,-13.6846211726
10100,-13.2467059946
10200,-16.9715571130
10300,-16.4088638227
10400,-15.7736461313
10500,-11.9607001317
10600,-13.9337581040
10700,-14.8399653269
10800,-15.9257097394
10900,-19.0836670391
11000,-14.3440808940
11100,-11.7348408972
11200,-16.2735417642
11300,-11.6743274626
11400,-15.1094548697
11500,-14.8052812870
11600,-13.8165134471
11700,-11.1823013522
11800,-12.0621173213
11900,-17.2594508032
12000,-19.3442262081
12100,-12.0101117294
12200,-10.0274636323
12300,-10.2315338170
12400,-15.8929957371
12500,-15.4054237332
12600,-18.7783738144
12700,-9.0665486230
12800,-11.5003253743
12900,-12.7166533869
13000,-15.4168516771
13100,-15.3100590865
13200,-17.4196938434
13300,-13.6519994841
13400,-11.8237407117
13500,-10.3168985463
13600,-15.6548894084
