step,stock0,stock1,stock2,stock3,stock4
1,39.545,73.943,71.211,788.959,95.243
2,23.045,69.943,60.711,704.959,61.243
3,76.545,65.943,50.211,716.000,27.243
4,60.045,131.943,39.711,632.000,123.243
5,43.545,127.943,29.211,548.000,159.243
6,27.045,123.943,18.711,464.000,125.243
7,10.545,119.943,78.211,510.000,91.243
8,64.045,115.943,67.711,426.000,57.243
9,47.545,111.943,57.211,342.000,23.243
10,31.045,107.943,46.711,328.000,119.243
11,14.545,103.943,36.211,244.000,85.243
12,68.045,99.943,25.711,160.000,166.000
13,51.545,95.943,15.211,276.000,132.000
14,35.045,91.943,74.711,322.000,98.000
15,18.545,87.943,64.211,238.000,64.000
16,72.045,83.943,53.711,284.000,30.000
17,55.545,79.943,43.211,270.000,126.000
18,39.045,75.943,32.711,316.000,162.000
19,22.545,71.943,22.211,232.000,128.000
20,76.045,67.943,89.500,148.000,94.000
21,59.545,63.943,79.000,264.000,60.000
22,43.045,59.943,68.500,180.000,26.000
23,26.545,55.943,58.000,226.000,62.000
24,10.045,51.943,47.500,142.000,28.000
25,63.545,47.943,37.000,58.000,124.000
26,47.045,113.943,26.500,104.000,90.000
27,30.545,109.943,16.000,150.000,126.000
28,14.045,105.943,75.500,196.000,92.000
29,67.545,101.943,65.000,242.000,58.000
30,51.045,97.943,54.500,158.000,24.000
