step,stock0,stock1,stock2,stock3,stock4
0,89.044,100.269,29.642,105.151,89.449
1,72.634,96.291,19.199,151.608,55.633
2,57.624,92.652,79.647,75.193,154.703
3,42.235,88.922,69.854,126.849,122.993
4,27.002,85.229,60.160,179.301,91.604
5,10.082,81.127,49.393,223.161,126.738
6,62.406,76.842,38.145,133.177,90.316
7,45.411,72.722,27.330,176.655,55.295
8,27.291,68.329,15.799,214.411,17.959
9,10.889,64.353,75.361,130.909,114.160
10,63.999,60.258,64.613,44.922,79.356
11,48.216,56.432,54.569,94.573,46.834
12,30.145,52.052,43.070,132.576,79.597
13,13.074,47.913,32.206,175.669,44.420
14,66.770,43.961,21.831,92.668,10.824
15,50.965,40.129,81.773,12.201,108.254
16,34.432,36.121,71.252,58.038,74.188
17,19.211,32.431,61.566,110.549,42.824
18,3.612,28.650,51.640,161.136,80.680
19,57.183,24.667,41.185,77.496,46.826
20,41.532,90.873,31.225,0.000,14.576
21,25.402,86.962,20.960,47.882,51.337
22,7.849,82.707,9.791,88.525,15.169
23,0.000,79.047,70.184,11.673,114.062
24,52.104,74.709,58.795,0.000,77.185
25,36.511,70.929,48.873,50.622,45.055
26,19.330,66.764,37.940,93.155,79.652
27,4.116,63.075,28.258,145.697,48.300
28,57.282,58.995,17.545,60.000,13.613
29,41.090,55.069,77.241,0.000,110.247
