episode,discreward
100,-16.9174832125
200,-18.4762112488
300,-18.4626743739
400,-11.3058386748
500,-17.4574741680
600,-15.1072268275
700,-22.2302245630
800,-14.4282127244
900,-13.8409427516
1000,-20.5143827539
1100,-19.2042913227
1200,-15.6858302446
1300,-17.6457633142
1400,-22.7757446953
1500,-12.9388299674
1600,-13.1508377577
1700,-12.8753019332
1800,-21.8589847209
1900,-16.9954755734
2000,-10.0951830055
2100,-12.6043143244
2200,-14.4701802269
2300,-10.8305818439
2400,-13.8309323598
2500,-13.7993010876
2600,-17.6246741701
2700,-7.4679681296
2800,-12.1783799442
2900,-6.2386248793
3000,-11.3601295420
3100,-15.2541759541
3200,-8.6560814731
3300,-8.4550065081
3400,-9.2168964329
3500,-7.2418005708
3600,-8.1111094952
3700,-5.5933356526
3800,-6.9583536938
3900,-7.5938663370
4000,-7.7977722171
4100,-4.8275983659
4200,-11.5340751682
4300,-8.2536694035
4400,-10.1883831471
4500,-8.8126120271
4600,-7.6001271160
4700,-11.0191801792
4800,-10.7140900416
4900,-4.8917549891
5000,-6.8407737772
5100,-9.4378810275
5200,-12.5339301828
5300,-4.2435180131
5400,-5.0877977329
5500,-8.3709225965
5600,-6.3779441087
5700,-6.8590774657
5800,-4.3499402625
5900,-9.6358590571
6000,-4.3580896488
6100,-10.0125310249
6200,-7.8973067017
6300,-5.5236966370
6400,-8.0826860942
6500,-4.1493382583
6600,-3.7954021942
6700,-3.1956542129
6800,-11.2741570939
6900,-6.8793773827
7000,-7.3028719121
7100,-6.5943974064
7200,-3.9920372436
7300,-5.7602135843
7400,-9.0927327906
7500,-6.5552741470
7600,-3.4067625186
7700,-5.2521964996
7800,-7.0043495921
7900,-4.2065222361
8000,-10.1612539529
8100,-2.9437714695
8200,-3.1681391826
8300,-7.3943885778
8400,-4.2216771084
8500,-2.1294965667
8600,-6.7470316993
8700,-3.6671897616
8800,-6.2647493981
8900,-3.6511371357
9000,-6.6399688992
9100,-5.2986501894
9200,-2.7899241462
9300,-4.7545397698
9400,-5.8988987357
9500,-6.5194937686
9600,-3.9651063052
9700,-4.9891368672
9800,-5.7580953962
9900,-2.8757549641
10000,-9.9833874838
10100,-4.2087210479
10200,-5.3816352174
10300,-4.5055806433
10400,-10.5454750347
10500,-3.6837878686
10600,-3.5024425577
10700,-2.9776350598
10800,-4.2196230532
10900,-4.8725913793
11000,-2.1127854809
11100,-5.0379834490
11200,-2.4456485960
11300,-4.4970885080
11400,-6.9301259658
11500,-4.5650796848
11600,-2.7905915902
11700,-2.6966334747
11800,-4.8769851526
11900,-5.3727944746
12000,-4.7430448029
12100,-1.3353041307
12200,-2.6307279271
12300,-2.2945537746
12400,-3.1999797303
12500,-2.3104315417
12600,-6.5678687501
12700,-3.4961089915
12800,-5.8772442906
12900,-6.5632086571
13000,-4.0242234837
13100,-6.6938507644
13200,-3.2702594945
13300,-4.3077025873
13400,-1.1084590890
13500,-3.4783483679
13600,-2.9939427983
13700,-0.3462546676
13800,-4.4990037838
13900,-4.2760398017
14000,-2.2074206069
14100,-0.8004716141
14200,-2.5948322674
14300,-3.2956872168
14400,-1.6505885577
14500,-3.1571705417
14600,-3.8518068250
14700,-8.7425521180
14800,-3.1348819352
14900,-7.8575452506
15000,-4.8322179636
15100,-2.1439252430
15200,-3.1967153911
15300,-2.9596648338
15400,-1.8085078798
15500,-3.3182849126
15600,-2.8969055188
15700,-2.9012465421
15800,-6.2030935950
15900,-2.1136302083
16000,-3.6658781602
16100,-2.7002748759
16200,-3.1799684237
16300,-1.0741215633
16400,-3.3583567757
16500,-2.5854942428
16600,-0.7299654826
16700,-3.3534619332
16800,-3.4546955866
16900,-3.5029656304
17000,-1.4126123364
17100,-6.0692210911
17200,-1.7070877306
17300,-4.6960203664
17400,-4.0113403959
17500,-0.9271701961
17600,-2.5587118550
17700,-3.6454592133
17800,-1.3557558491
17900,-2.2854919785
18000,-2.8232537143
18100,-3.9661509316
18200,-1.8401807082
18300,-3.3264213085
18400,-3.0202442571
18500,-1.9679573813
18600,-2.6310373685
18700,-4.8006075232
18800,-6.2279132026
18900,-1.2081453380
19000,-2.3607263631
19100,-1.4601327574
19200,-0.9673892793
19300,-4.1296448088
19400,-1.5925171319
19500,-1.4290730135
19600,-0.3710735901
19700,-5.5081086570
19800,-2.5494818546
19900,-1.3498917400
20000,-2.4370045222
20100,-1.9244251187
20200,-2.7572330410
20300,-4.3889108605
20400,-2.5408384926
20500,-4.2421028937
20600,-1.7877728405
20700,-2.3431778745
20800,-3.5949111059
20900,-2.6727858052
21000,-1.0828105309
21100,-1.4550247288
21200,-2.6565902399
21300,-2.0905362628
21400,-1.8104207976
21500,-2.7153070764
21600,-2.3125073129
21700,-2.7131822483
21800,-2.6091928485
21900,-1.2400022184
22000,-3.0761211849
22100,-0.5946754556
22200,-2.9082387754
22300,-0.8953590255
22400,-1.3081773733
22500,-6.0800387273
22600,-1.3507239262
22700,-4.1699513922
22800,-2.5118075434
22900,-1.6545687721
23000,-2.4088831221
23100,-2.4216083435
23200,-1.3510752344
23300,-2.9062630825
23400,-0.5837678030
23500,-1.9452374678
23600,-1.5311049759
23700,-4.0648770193
23800,-2.5138374419
23900,-0.6471787425
24000,-6.9816895914
24100,-1.0310623072
24200,-3.0212594870
24300,-3.7637441399
24400,-0.1204247357
24500,-2.0170802080
24600,-1.5618529283
24700,-1.5133785296
24800,-2.5022273855
24900,-3.6510565556
25000,-3.7257062055
25100,-5.8509070584
25200,-2.7945853860
25300,-2.0528443369
25400,-1.7144236731
25500,-2.8921752161
25600,-4.2818738013
25700,-0.3039971448
25800,-1.8440315911
25900,-4.3732512862
26000,-0.1076001899
26100,-0.7410168798
26200,-0.8892558900
26300,-2.7025819370
26400,-2.2132392416
26500,-0.0698671554
26600,-0.4412666228
26700,-0.5877800614
26800,-0.4600465920
26900,-2.1008778387
27000,-0.5264231038
27100,-1.1569209584
27200,-0.6432692083
27300,-2.8215841371
27400,-2.5056145943
27500,-1.8739131012
27600,-2.4202707686
27700,-3.4493562839
27800,-1.0032105257
27900,-1.3386608522
28000,-2.8695916213
28100,-1.0914014252
28200,-2.9955610730
28300,-2.7325129281
28400,-0.9448890953
28500,-2.3759248492
28600,-0.3694409943
28700,-0.0650483198
28800,-6.0488520872
28900,-0.5310773312
29000,-1.9155085888
29100,-0.0630970033
29200,-3.3275289441
29300,-1.8437503165
29400,-0.9205581349
29500,-0.7189205813
29600,-2.9431696282
29700,-1.3607720293
29800,-0.3447096052
29900,-0.4495289448
30000,-3.9647206545
30100,-0.7862604025
30200,-2.9836551539
30300,-0.1356525749
30400,-3.5101447983
30500,-2.3241814149
30600,-2.5856015361
30700,-0.4832920424
30800,-2.2373103706
30900,0.0006624729
31000,-2.3653324126
31100,-0.5135483812
31200,-2.4488739357
31300,-0.9354831392
31400,-0.5665658248
31500,-0.9682325297
31600,-1.9229530528
31700,-2.0830524009
31800,-0.7218140488
31900,-0.4249267493
32000,-1.1585107851
32100,-1.6253101582
32200,-1.5974485307
32300,0.0014266466
32400,-1.9590326242
32500,-1.4944641547
32600,-2.2067264895
32700,-3.6434302259
32800,-2.2609326571
32900,-1.2934951123
33000,-0.9317564513
33100,-1.4575342479
33200,-0.5361803057
33300,-1.3784192477
33400,-0.7122892045
33500,-0.9374581045
33600,-1.5891858340
33700,-1.3238620305
33800,-1.0073863935
33900,-2.3938972402
34000,-2.0432850590
34100,-0.9596496146
34200,-0.6343929968
34300,-1.1564433609
34400,-2.2561471451
34500,-1.3439133765
34600,-2.4724791122
34700,-0.5885198011
34800,-0.8473350671
34900,-0.9064466846
35000,-1.4245890256
35100,-0.9363805194
35200,-2.5773980673
35300,-2.1023053065
