episode,discreward
100,-19.6546200072
200,-18.7244794117
300,-18.6014422293
400,-16.6488625702
500,-21.6794249208
600,-23.0853830611
700,-22.8575477127
800,-21.4171686296
900,-16.0839231182
1000,-21.1823096899
1100,-21.9888056363
1200,-15.9128533491
1300,-21.5336125795
1400,-21.3406460592
1500,-18.2765558736
1600,-19.7867568951
1700,-13.0226426550
1800,-18.6262925375
1900,-21.1148877319
2000,-19.2489261450
2100,-18.2122769866
2200,-22.4254021992
2300,-17.5095139772
2400,-19.6853666335
2500,-23.9744002172
2600,-21.1522219872
2700,-25.1327043836
2800,-14.7869778022
2900,-7.2763396653
3000,-22.7010417235
3100,-19.3559203108
3200,-18.9470751856
3300,-20.5219708513
3400,-20.9324731918
3500,-21.3276691764
3600,-19.4901638199
3700,-16.1034260417
3800,-22.5423356200
3900,-16.2324308751
4000,-12.6557886735
4100,-17.4695805658
4200,-14.9251950080
4300,-14.5290107714
4400,-21.5611615169
4500,-19.0862551893
4600,-15.0445271793
4700,-13.0582084755
4800,-17.6034399970
4900,-22.6349276105
5000,-14.9607018803
5100,-20.1040203809
5200,-19.2490249622
5300,-21.0193188979
5400,-15.6647651688
5500,-15.9776958520
5600,-16.5352729845
5700,-20.2269700664
5800,-13.5617254986
5900,-20.5844628849
6000,-17.9543956429
6100,-16.5147956021
6200,-14.0277930611
6300,-14.6098915430
6400,-20.0742749417
6500,-14.9450990317
6600,-21.8328914063
6700,-12.9860637883
6800,-19.5232930251
6900,-14.2915515669
7000,-16.0919405889
7100,-12.6912715678
7200,-17.3821190020
7300,-12.8673437058
7400,-14.1241591752
7500,-13.4411731109
7600,-13.1193891646
7700,-17.9212700995
7800,-18.3673746846
7900,-16.8212864438
8000,-10.7574372554
8100,-13.9562860620
8200,-8.9234342274
8300,-16.6339145342
8400,-18.0230520532
8500,-19.3428198878
8600,-7.7724427074
8700,-10.7579358313
8800,-14.5945091763
8900,-11.8236005600
9000,-22.9001193460
9100,-14.8468794018
9200,-18.5006171016
9300,-16.0388067640
9400,-9.0623459841
9500,-15.2731892944
9600,-16.1286501493
9700,-12.6626804039
9800,-14.6758427139
9900,-8.8265303949
10000,-11.1180082595
10100,-13.6376135215
10200,-18.5311621481
10300,-13.1355547964
10400,-16.9458403997
10500,-10.1603445848
10600,-18.5891657358
10700,-15.6757069765
10800,-13.9336499538
10900,-12.8336906694
11000,-13.6671797971
11100,-13.1286928082
11200,-14.2615694181
11300,-17.7156740165
11400,-18.2836759359
11500,-15.0044667064
11600,-10.2218456905
11700,-9.4065235474
11800,-11.0610030502
11900,-9.2651721276
12000,-18.6707188450
12100,-14.8970428241
12200,-8.4434136920
12300,-15.4954804748
12400,-6.7414311341
12500,-11.5703414472
12600,-13.5023237401
12700,-11.5201183567
12800,-12.9466237664
12900,-10.5317175393
13000,-14.3434538194
13100,-10.2802033452
13200,-14.9476045841
13300,-13.0063125610
13400,-11.8617725432
13500,-11.9282416687
13600,-10.1659092393
13700,-16.7636693444
13800,-13.0005858868
13900,-10.3449922151
14000,-9.4410860942
14100,-12.3571689868
14200,-10.8320243429
14300,-10.6152293455
14400,-22.1896529637
14500,-7.1102089118
14600,-13.7928376410
14700,-11.4849190298
14800,-8.8655234150
14900,-11.6159984177
15000,-12.6529531477
