step,stock0,stock1,stock2,stock3,stock4
1,39.545,73.943,71.211,788.959,95.243
2,83.500,69.943,60.711,704.959,61.243
3,67.000,65.943,50.211,620.959,97.243
4,50.500,61.943,39.711,536.959,63.243
5,34.000,57.943,29.211,452.959,99.243
6,17.500,123.943,18.711,368.959,65.243
7,71.000,119.943,8.211,414.959,31.243
8,54.500,115.943,67.711,330.959,127.243
9,38.000,111.943,57.211,246.959,93.243
10,21.500,107.943,46.711,162.959,129.243
11,75.000,103.943,36.211,208.959,95.243
12,58.500,99.943,25.711,124.959,131.243
13,42.000,95.943,15.211,240.959,97.243
14,25.500,91.943,74.711,156.959,63.243
15,9.000,157.943,64.211,202.959,29.243
16,62.500,153.943,53.711,118.959,125.243
17,46.000,149.943,43.211,234.959,91.243
18,29.500,145.943,32.711,150.959,127.243
19,13.000,141.943,22.211,196.959,93.243
20,66.500,137.943,11.711,242.959,59.243
21,50.000,133.943,71.211,158.959,155.243
22,83.500,129.943,60.711,204.959,121.243
23,67.000,125.943,50.211,120.959,87.243
24,50.500,121.943,39.711,166.959,53.243
25,34.000,117.943,29.211,212.959,19.243
26,17.500,113.943,18.711,128.959,55.243
27,71.000,109.943,8.211,174.959,21.243
28,54.500,105.943,0.000,220.959,57.243
29,38.000,101.943,59.500,136.959,153.243
30,83.500,97.943,49.000,182.959,119.243
31,96.470,170.621,67.440,219.855,67.329
32,79.970,166.621,56.940,265.855,33.329
33,63.470,162.621,46.440,181.855,129.329
34,46.970,158.621,35.940,227.855,95.329
35,30.470,154.621,25.440,143.855,61.329
36,13.970,150.621,14.940,189.855,97.329
37,67.470,146.621,4.440,235.855,63.329
38,50.970,142.621,63.940,151.855,159.329
39,34.470,138.621,53.440,267.855,125.329
40,17.970,134.621,42.940,183.855,91.329
41,71.470,130.621,32.440,229.855,57.329
42,54.970,126.621,21.940,145.855,93.329
43,38.470,122.621,81.440,191.855,59.329
44,21.970,118.621,70.940,237.855,25.329
45,75.470,114.621,60.440,153.855,121.329
46,58.970,110.621,49.940,269.855,87.329
47,42.470,106.621,39.440,185.855,123.329
48,25.970,102.621,28.940,231.855,89.329
49,9.470,98.621,18.440,147.855,125.329
50,62.970,94.621,89.500,63.855,91.329
51,46.470,90.621,79.000,109.855,57.329
52,29.970,86.621,68.500,155.855,23.329
53,13.470,82.621,58.000,201.855,59.329
54,66.970,78.621,47.500,117.855,25.329
55,50.470,74.621,37.000,103.855,121.329
56,33.970,70.621,26.500,219.855,87.329
57,17.470,66.621,16.000,135.855,123.329
58,70.970,62.621,89.500,51.855,89.329
59,54.470,58.621,79.000,97.855,55.329
60,37.970,54.621,68.500,143.855,21.329
61,48.443,167.989,84.042,281.657,53.674
62,31.943,163.989,73.542,327.657,19.674
63,15.443,159.989,63.042,243.657,115.674
64,68.943,155.989,52.542,159.657,81.674
65,52.443,151.989,42.042,205.657,47.674
66,35.943,147.989,31.542,121.657,143.674
67,19.443,143.989,21.042,167.657,109.674
68,83.500,139.989,80.542,83.657,75.674
69,67.000,135.989,70.042,129.657,41.674
70,50.500,131.989,59.542,175.657,77.674
71,34.000,127.989,49.042,221.657,43.674
72,17.500,123.989,38.542,137.657,79.674
73,71.000,119.989,28.042,183.657,45.674
74,54.500,115.989,17.542,229.657,81.674
75,38.000,111.989,77.042,145.657,166.000
76,21.500,107.989,66.542,191.657,132.000
77,75.000,103.989,56.042,237.657,98.000
78,58.500,99.989,45.542,153.657,134.000
79,42.000,95.989,35.042,269.657,100.000
80,25.500,91.989,24.542,185.657,136.000
81,9.000,87.989,84.042,231.657,102.000
82,62.500,83.989,73.542,147.657,68.000
83,46.000,79.989,63.042,193.657,34.000
84,29.500,75.989,52.542,239.657,70.000
85,13.000,71.989,42.042,155.657,106.000
86,66.500,67.989,31.542,201.657,72.000
87,50.000,63.989,21.042,117.657,108.000
88,33.500,59.989,80.542,163.657,74.000
89,17.000,55.989,70.042,209.657,40.000
90,70.500,51.989,59.542,125.657,136.000
91,49.108,166.560,50.637,662.568,164.092
92,32.608,162.560,40.137,578.568,130.092
93,16.108,158.560,29.637,694.568,96.092
94,69.608,154.560,19.137,610.568,62.092
95,53.108,150.560,78.637,526.568,158.092
96,36.608,146.560,68.137,572.568,124.092
97,20.108,142.560,57.637,488.568,90.092
98,73.608,138.560,47.137,404.568,56.092
99,57.108,134.560,36.637,320.568,92.092
100,40.608,130.560,26.137,236.568,128.092
101,24.108,126.560,15.637,152.568,94.092
102,77.608,122.560,5.137,198.568,60.092
103,61.108,118.560,64.637,244.568,26.092
104,44.608,114.560,54.137,160.568,62.092
105,28.108,110.560,43.637,206.568,28.092
106,11.608,106.560,33.137,122.568,64.092
107,65.108,102.560,22.637,168.568,30.092
108,48.608,98.560,12.137,214.568,66.092
109,32.108,94.560,71.637,130.568,32.092
110,15.608,90.560,61.137,176.568,68.092
111,69.108,86.560,50.637,222.568,34.092
112,52.608,82.560,40.137,138.568,70.092
113,36.108,78.560,29.637,184.568,106.092
114,19.608,74.560,19.137,300.568,72.092
115,83.500,70.560,78.637,216.568,38.092
116,67.000,66.560,68.137,132.568,74.092
117,50.500,62.560,57.637,178.568,40.092
118,34.000,58.560,47.137,94.568,136.092
119,17.500,54.560,36.637,210.568,102.092
120,71.000,50.560,26.137,126.568,68.092
121,48.578,170.101,35.038,342.200,125.716
122,32.078,166.101,24.538,388.200,91.716
123,15.578,162.101,14.038,304.200,57.716
124,69.078,158.101,89.500,220.200,23.716
125,52.578,154.101,79.000,136.200,119.716
126,36.078,150.101,68.500,182.200,85.716
127,19.578,146.101,58.000,228.200,51.716
128,73.078,142.101,47.500,274.200,17.716
129,56.578,138.101,37.000,190.200,53.716
130,40.078,134.101,26.500,236.200,19.716
131,23.578,130.101,16.000,152.200,55.716
132,77.078,126.101,5.500,198.200,21.716
133,60.578,122.101,65.000,114.200,117.716
134,44.078,118.101,54.500,230.200,83.716
135,27.578,114.101,44.000,146.200,119.716
136,11.078,110.101,33.500,192.200,85.716
137,64.578,106.101,23.000,238.200,51.716
138,48.078,102.101,82.500,154.200,147.716
139,83.500,98.101,72.000,200.200,113.716
140,67.000,94.101,61.500,116.200,79.716
141,50.500,90.101,51.000,162.200,45.716
142,34.000,86.101,40.500,78.200,141.716
143,17.500,82.101,30.000,194.200,107.716
144,71.000,78.101,19.500,240.200,73.716
145,54.500,74.101,79.000,156.200,39.716
146,38.000,70.101,68.500,202.200,75.716
147,21.500,66.101,58.000,118.200,111.716
148,75.000,62.101,47.500,164.200,77.716
149,58.500,58.101,37.000,210.200,113.716
150,42.000,54.101,26.500,126.200,79.716
