step,stock0,stock1,stock2,stock3,stock4
1,71.382,101.377,63.372,798.085,101.446
2,54.882,97.377,52.872,714.085,67.446
3,38.382,93.377,42.372,630.085,33.446
4,21.882,89.377,31.872,546.085,69.446
5,75.382,85.377,21.372,462.085,35.446
6,58.882,81.377,80.872,378.085,131.446
7,42.382,77.377,70.372,294.085,97.446
8,25.882,73.377,59.872,210.085,63.446
9,9.382,69.377,49.372,126.085,29.446
10,62.882,65.377,38.872,42.085,125.446
11,46.382,61.377,28.372,88.085,91.446
12,29.882,57.377,17.872,134.085,57.446
13,13.382,53.377,77.372,180.085,23.446
14,66.882,49.377,66.872,96.085,119.446
15,50.382,115.377,56.372,12.085,85.446
16,33.882,111.377,45.872,58.085,51.446
17,17.382,107.377,35.372,104.085,17.446
18,70.882,103.377,24.872,20.085,113.446
19,54.382,99.377,84.372,66.085,79.446
20,37.882,95.377,73.872,112.085,45.446
21,21.382,91.377,63.372,158.085,81.446
22,74.882,87.377,52.872,204.085,47.446
23,58.382,83.377,42.372,120.085,83.446
24,41.882,79.377,31.872,166.085,49.446
25,25.382,75.377,21.372,212.085,85.446
26,8.882,71.377,80.872,128.085,51.446
27,62.382,67.377,70.372,174.085,17.446
28,45.882,63.377,59.872,220.085,53.446
29,29.382,59.377,49.372,136.085,19.446
30,12.882,55.377,38.872,182.085,55.446
