iteration,discreward
0,-4.2011142706
20,-3.3116030693
40,-2.6725794630
60,-2.4779112774
80,-2.2551770138
100,-2.0268578903
120,-1.9743185914
140,-2.1391028137
160,-1.6604582448
180,-1.7860334455
200,-1.6856160199
220,-1.8401614155
240,-1.4230434705
260,-1.7292863671
280,-2.2055295897
300,-1.6256387480
320,-1.4970140784
340,-1.5972334039
360,-1.4809494647
380,-2.0644922571
400,-1.7308332772
420,-1.5936630317
440,-1.5272882825
460,-1.5245341505
480,-1.6884463547
500,-1.3979172386
520,-1.4449470456
540,-1.4568553967
560,-1.4758647426
580,-1.4106987843
600,-1.4078104688
620,-1.5343205506
640,-1.4553137725
660,-1.4851874592
680,-1.6594048895
700,-1.5921037699
720,-1.6430304507
740,-1.5854315342
760,-1.5192211551
780,-1.4154243241
800,-1.3387531767
820,-1.5375510108
840,-1.8908212160
860,-1.5014077613
880,-1.5194808841
900,-1.6890735230
920,-1.2908026854
940,-1.4564170873
960,-1.5529375904
980,-1.2903131807
1000,-1.6264967653
1020,-1.8649391464
1040,-1.4466362786
1060,-1.7797910636
1080,-2.2384755805
1100,-1.7650269160
1120,-1.4275951221
1140,-1.8945278033
1160,-1.5475395039
1180,-1.6905286905
1200,-1.5792069379
1220,-1.6372016533
1240,-1.5026985458
1260,-1.6779395437
1280,-1.5368443933
1300,-1.5648387616
1320,-1.4987194166
1340,-1.6245240339
1360,-1.4643093160
1380,-1.3972354840
1400,-1.5032568935
1420,-1.3275642035
1440,-1.5463339956
1460,-1.4297234908
1480,-1.6217233868
1500,-1.7799707675
1520,-1.6652336037
1540,-1.9298948133
1560,-1.5548167029
1580,-1.4344782183
1600,-1.7415928034
1620,-1.4964464903
1640,-1.6783154706
1660,-1.5441835729
1680,-1.5892328815
1700,-1.7968813144
1720,-1.8711594063
1740,-1.4392325609
1760,-1.5692502682
1780,-2.1595734702
1800,-1.4679615627
1820,-1.6904115870
1840,-1.5126223568
1860,-1.5630239999
1880,-1.5448704057
1900,-1.5258068062
1920,-1.6704477309
1940,-1.5602722152
1960,-1.2880579342
1980,-1.5585806105
2000,-1.3951508257
2020,-1.3755488328
2040,-1.6459172024
2060,-1.5360399708
2080,-1.4183255705
2100,-1.4123328221
2120,-1.4080001707
2140,-1.5140002635
2160,-1.5832528699
2180,-1.6417640522
2200,-1.3298812205
2220,-1.5504084119
2240,-1.3772924474
2260,-1.5878328150
2280,-1.5032922343
2300,-1.3597521010
2320,-1.3758355024
2340,-1.3475296986
2360,-1.2759495882
2380,-1.2497656199
2400,-1.1938063686
2420,-1.3448032513
2440,-1.4853373110
2460,-1.5992209498
2480,-1.4253296997
2500,-1.2551462461
2520,-1.3158798075
2540,-1.5841852612
2560,-1.3778942985
2580,-1.3594466681
2600,-1.3728686493
2620,-1.4324742018
2640,-1.4774583744
2660,-1.4689677163
2680,-1.6751169601
2700,-1.1551827836
2720,-1.2122635738
2740,-1.4109182194
2760,-1.3610302734
2780,-1.3556052057
2800,-1.4742281140
2820,-1.3393714900
2840,-1.3635551717
2860,-1.1579459431
2880,-1.1860735631
2900,-1.2783668530
2920,-1.5009782418
2940,-1.3696994479
2960,-1.0635801389
2980,-1.2295713899
3000,-1.1460597189
3020,-1.3878002048
3040,-1.2437265269
3060,-1.0899537238
3080,-1.3441209869
3100,-1.1808598505
3120,-1.4057846122
3140,-1.3061698959
3160,-1.3461566689
3180,-1.2874045608
3200,-1.4213667446
3220,-1.3151382106
3240,-1.4604756969
3260,-1.5232233882
3280,-1.3503822666
3300,-1.6855179510
3320,-1.1729904570
3340,-1.1885619963
3360,-1.2645234954
3380,-1.1710439749
3400,-1.0422316887
3420,-1.1703436189
3440,-1.3684794904
3460,-1.1190253986
3480,-1.4905545197
3500,-1.3200609006
3520,-1.5476628210
3540,-1.4326256093
3560,-1.2725307764
3580,-1.2649010471
3600,-1.4279842386
3620,-1.1974483615
3640,-1.3159319188
3660,-1.3640925548
3680,-1.4418116464
3700,-1.6170948068
3720,-1.5219244702
3740,-1.2331450408
3760,-1.2875519187
3780,-1.2336070303
3800,-1.0778977599
3820,-1.2314254340
3840,-1.3716750008
3860,-1.4709908370
3880,-1.3579933048
3900,-1.2814128445
3920,-1.4061735163
3940,-1.2882270998
3960,-1.2565104831
3980,-1.3380040934
4000,-1.2123733039
4020,-1.2026010656
4040,-1.2547131397
4060,-1.2649395416
4080,-1.2768529339
4100,-1.2637290304
4120,-1.2451778998
4140,-1.4639222761
4160,-1.2794549762
4180,-1.2141651428
4200,-1.3160490007
4220,-1.1854642914
4240,-1.1652940963
4260,-1.1795278876
4280,-1.2965090002
4300,-1.1527484722
4320,-1.1544281384
4340,-1.3259686891
4360,-1.1776828889
4380,-1.1276612753
4400,-1.2964526126
4420,-1.1700071010
4440,-1.2510640366
4460,-1.6042382356
4480,-1.2427497183
4500,-1.1589152620
4520,-1.0451141998
4540,-1.3017117215
4560,-1.2590383977
4580,-1.3063678268
4600,-1.3388060063
4620,-1.4754550499
4640,-1.4223225880
4660,-1.4379590067
4680,-1.3124858522
4700,-1.5364263372
4720,-1.5172217842
4740,-1.4888961886
4760,-1.3404323532
4780,-1.3164973208
4800,-1.4766354078
4820,-1.4537356982
4840,-1.3078214029
4860,-1.0685785761
4880,-1.3292297978
4900,-1.2269291040
4920,-1.1974131003
4940,-1.3285882578
4960,-1.2989292236
4980,-1.5390647644
5000,-1.2897962360
5020,-1.3488696073
5040,-1.2680786283
5060,-1.3027818006
5080,-1.1851256558
5100,-1.2455287861
5120,-1.2726549652
5140,-1.4179894968
5160,-1.2448677391
5180,-1.2059548507
5200,-1.1890733429
5220,-1.1584063913
5240,-1.3056631206
5260,-1.1671602800
5280,-1.2201364902
5300,-1.3409470839
5320,-1.2899669310
5340,-1.2618438303
5360,-1.2013359467
5380,-1.3715030031
5400,-1.7110510182
5420,-1.1966311495
5440,-1.3008108464
5460,-1.3472957266
5480,-1.2212246523
5500,-1.2640963079
5520,-1.2320480932
5540,-1.3827849065
5560,-1.1686637946
5580,-1.3270140256
5600,-1.3875160081
5620,-1.3721297504
5640,-1.4019703014
5660,-1.4724933425
5680,-1.3182867656
5700,-1.2110458711
5720,-1.2664195331
5740,-1.3310496206
5760,-1.3229405882
5780,-1.4396247112
5800,-1.2976523069
5820,-1.4479868723
5840,-1.1494082542
5860,-1.2962801674
5880,-1.0899718970
5900,-1.2037112838
5920,-1.2795474342
5940,-1.3509043057
5960,-1.2077011099
5980,-1.2979510636
6000,-1.3003368829
6020,-1.3298687925
6040,-1.2560849665
6060,-1.3807604399
6080,-1.2370572140
6100,-1.3552336660
6120,-1.1822550957
6140,-1.2742595493
