step,stock0,stock1,stock2,stock3,stock4
1,39.545,73.943,71.211,788.959,95.243
2,23.045,69.943,60.711,704.959,61.243
3,6.545,65.943,50.211,620.959,27.243
4,83.500,61.943,39.711,536.959,0.000
5,67.000,57.943,29.211,452.959,36.000
6,50.500,53.943,18.711,368.959,72.000
7,34.000,49.943,78.211,284.959,38.000
8,17.500,45.943,67.711,200.959,134.000
9,83.500,41.943,57.211,116.959,100.000
10,67.000,37.943,46.711,32.959,66.000
11,50.500,103.943,36.211,0.000,32.000
12,34.000,99.943,25.711,0.000,68.000
13,17.500,95.943,15.211,0.000,34.000
14,71.000,91.943,4.711,0.000,0.000
15,54.500,87.943,0.000,0.000,36.000
16,38.000,83.943,0.000,0.000,72.000
17,21.500,79.943,59.500,0.000,38.000
18,75.000,75.943,49.000,0.000,4.000
19,58.500,71.943,38.500,0.000,40.000
20,42.000,67.943,28.000,0.000,76.000
21,25.500,63.943,17.500,0.000,42.000
22,9.000,59.943,7.000,0.000,78.000
23,62.500,55.943,0.000,0.000,44.000
24,46.000,51.943,0.000,0.000,80.000
25,29.500,47.943,59.500,0.000,46.000
26,83.000,43.943,49.000,0.000,12.000
27,66.500,39.943,38.500,0.000,48.000
28,50.000,35.943,28.000,0.000,84.000
29,33.500,31.943,17.500,0.000,50.000
30,83.500,27.943,77.000,0.000,16.000
