step,stock0,stock1,stock2,stock3,stock4
0,89.044,100.269,29.642,105.151,89.449
1,72.634,96.291,19.199,221.608,55.633
2,57.624,92.652,9.647,275.193,24.703
3,42.235,88.922,69.854,196.849,122.993
4,27.002,85.229,60.160,319.301,91.604
5,10.082,81.127,49.393,363.161,56.738
6,62.406,76.842,38.145,273.177,20.316
7,45.411,72.722,27.330,186.655,115.295
8,27.291,68.329,15.799,294.411,77.959
9,10.889,64.353,75.361,340.909,44.160
10,63.999,60.258,64.613,254.922,139.356
11,48.216,56.432,54.569,374.573,106.834
12,30.145,122.052,43.070,282.576,69.597
13,13.074,117.913,32.206,325.669,34.420
14,66.770,113.961,21.831,242.668,130.824
15,50.965,110.129,81.773,292.201,98.254
16,34.432,106.121,71.252,338.038,64.188
17,19.211,102.431,61.566,390.549,32.824
18,73.612,98.650,51.640,311.136,130.680
19,57.183,164.667,41.185,227.496,96.826
20,41.532,160.873,31.225,277.818,64.576
21,25.402,156.962,20.960,325.700,31.337
22,7.849,152.707,79.791,236.343,125.169
23,62.753,149.047,70.184,289.491,94.062
24,44.857,144.709,58.795,328.382,57.185
25,29.265,140.929,48.873,249.003,155.055
26,12.084,136.764,37.940,291.536,119.652
27,66.869,133.075,28.258,214.079,88.300
28,50.036,128.995,17.545,258.382,53.613
29,33.843,125.069,77.241,305.948,20.247
