episode,discreward
100,-19.1413803510
200,-18.1960107554
300,-18.1173608383
400,-15.9548799572
500,-21.2315360399
600,-19.9691495540
700,-22.4384842114
800,-20.8129742843
900,-15.4868813579
1000,-20.7106162935
1100,-21.3099093887
1200,-15.1693499137
1300,-19.9660197409
1400,-18.6167949868
1500,-17.7785371075
1600,-19.1972781111
1700,-12.6098690925
1800,-18.1488837595
1900,-21.7569437272
2000,-18.6016271385
2100,-16.2831869000
2200,-21.9143107536
2300,-16.4643230805
2400,-19.1549947087
2500,-23.3820254350
2600,-18.9725655296
2700,-24.0746765187
2800,-14.2994441928
2900,-5.3470937191
3000,-22.6112224002
3100,-18.1963672140
3200,-17.7750986555
3300,-17.8998378831
3400,-19.9420209986
3500,-20.8371633244
3600,-16.1181820696
3700,-13.3391233904
3800,-23.3478738378
3900,-13.4336216146
4000,-11.9090435048
4100,-15.9889677180
4200,-16.0752273678
4300,-13.8472011621
4400,-22.1664068360
4500,-19.0108859598
4600,-13.2038644231
4700,-12.4802672568
4800,-17.4691422461
4900,-19.6772084048
5000,-14.2402218036
5100,-19.7456656300
5200,-15.5247489310
5300,-20.0910455983
5400,-16.4323906466
5500,-12.6393352364
5600,-16.4552865928
5700,-20.5186515947
5800,-14.2660357576
5900,-17.5180658486
6000,-18.5454650179
6100,-10.5178267884
6200,-11.7941938237
6300,-13.8370193131
6400,-17.9327771995
6500,-12.2385492665
6600,-20.5919655433
6700,-11.9565152498
6800,-19.1135796694
6900,-14.7609924121
7000,-15.2072274661
7100,-11.8041888094
7200,-16.9195746781
7300,-12.2504205508
7400,-13.6237245276
7500,-11.8982381516
7600,-11.9248686205
7700,-11.0836967805
7800,-16.5556768914
7900,-15.7184005785
8000,-8.2543475857
8100,-12.0659915705
8200,-7.0377423105
8300,-14.8226711511
8400,-16.7503889156
8500,-18.1398049262
8600,-7.9898134726
8700,-9.1355027642
8800,-14.3129978892
8900,-8.7057991844
9000,-22.0500780282
9100,-12.0911700949
9200,-16.9737263754
9300,-15.6843819676
9400,-7.8249849420
9500,-12.4550245209
9600,-13.7907603010
9700,-11.5274120136
9800,-14.1906597864
9900,-8.0639447240
10000,-8.6817938566
10100,-11.3990476574
10200,-14.8614025820
10300,-10.4980285045
10400,-16.9156745175
10500,-6.1379145399
10600,-16.6476015369
10700,-13.2162671566
10800,-13.4934552664
10900,-11.3212250680
11000,-10.9479072208
11100,-13.2526972979
11200,-9.5575253049
11300,-15.6204246666
11400,-15.1905799739
11500,-10.1114639927
11600,-8.4218301923
11700,-7.8169766364
11800,-8.6899011883
11900,-9.3199787789
12000,-18.5941740146
12100,-12.0148133247
12200,-6.2470598649
12300,-14.3662231235
12400,-5.2818182512
12500,-9.9873860495
12600,-10.2766026984
12700,-9.4191573314
12800,-12.3614310088
12900,-8.1525909497
13000,-10.5704064810
13100,-8.0983991659
13200,-14.0772302369
13300,-13.9964447918
13400,-11.0305812032
13500,-10.3733888774
13600,-8.9587877091
13700,-14.0031525624
13800,-11.8611563688
13900,-6.5809284761
14000,-8.5577744287
14100,-13.2810567085
14200,-10.0720554171
14300,-9.9902226579
14400,-18.9505923019
14500,-4.9743563409
14600,-11.3730892069
14700,-11.8742225085
14800,-8.6523406644
14900,-8.8796034845
15000,-9.0478773554
15100,-7.4632774836
15200,-11.6832753317
15300,-12.1716570102
15400,-8.5654684267
15500,-8.6108665906
15600,-13.0682623638
15700,-10.1396704608
15800,-8.6568652578
15900,-10.1642186160
16000,-4.1346003844
16100,-10.5543507350
16200,-8.3373444886
16300,-7.4577599554
16400,-7.1748392622
16500,-8.3796778783
16600,-7.7755483275
16700,-9.0322223399
16800,-7.8056423942
16900,-6.0091573185
17000,-15.4070262175
17100,-10.2833767669
17200,-8.7045620778
17300,-7.6762140917
17400,-10.8306155810
17500,-10.1978792131
17600,-4.8400039473
17700,-15.1388736788
17800,-7.3682840855
17900,-5.3471729487
18000,-8.9532452436
18100,-10.3176822600
18200,-6.3271597318
18300,-7.0711708057
18400,-15.2164302338
18500,-13.6693622344
18600,-9.9420340036
18700,-8.7091697004
18800,-9.5180566568
18900,-11.0144879768
19000,-7.3740255902
19100,-12.5188641750
19200,-3.4580266837
19300,-8.5001784930
19400,-3.9547873855
19500,-5.3336486355
19600,-8.2963939014
19700,-7.9004728136
19800,-6.8213374870
19900,-7.2969315741
20000,-6.9740130160
20100,-10.1841007326
20200,-7.5130684275
20300,-7.7540344191
20400,-11.8553728574
20500,-7.3563055764
20600,-5.4185706378
20700,-5.2674267319
20800,-19.8831639728
20900,-8.7047974445
21000,-5.9991332508
21100,-9.1993095260
21200,-12.3295447557
21300,-5.5024431214
21400,-5.6751725533
21500,-10.3764836706
21600,-4.3431295066
21700,-5.6026640194
21800,-9.0188929151
21900,-6.2195039562
22000,-8.0949341673
22100,-11.6907691019
22200,-9.2637787270
22300,-11.3120790653
22400,-7.2939351235
22500,-11.6901602308
22600,-7.6079571236
22700,-8.2019892850
22800,-9.9854980039
22900,-8.3221111627
23000,-7.7062619885
23100,-7.9824374659
23200,-9.0500393516
23300,-10.6701943513
23400,-10.9331090801
23500,-5.1858334193
23600,-6.1035213679
23700,-13.0970403245
23800,-6.5337217411
23900,-4.7769175498
24000,-5.8947379623
24100,-8.8569235194
24200,-10.3304490644
24300,-7.9565495947
24400,-10.5676491570
24500,-13.7826706657
24600,-11.2908054336
24700,-4.9915822717
24800,-5.7037490187
24900,-8.0335585993
25000,-9.2075519062
25100,-10.2485699298
25200,-8.7136518166
25300,-6.3978863215
25400,-4.4736577910
25500,-9.1801977448
25600,-9.5208635048
25700,-5.3988853991
25800,-9.2363070525
25900,-7.0440475973
26000,-9.7104001215
26100,-7.8197851598
26200,-7.8488919865
26300,-6.5423579793
26400,-2.9663140559
26500,-8.0581202107
26600,-6.9913849961
26700,-6.2492972418
26800,-7.9507765914
26900,-11.9433654877
27000,-9.2938170707
27100,-4.8644593732
27200,-2.8268652223
27300,-5.6563887678
27400,-8.5713550315
27500,-4.5702590420
27600,-11.2640580736
27700,-10.3841860689
27800,-8.9000597579
27900,-5.1221811723
28000,-9.6218044763
28100,-5.9631106028
28200,-2.5029551937
28300,-8.0280953469
28400,-6.2155327021
28500,-9.8859323803
28600,-4.9677574031
28700,-6.5916905154
28800,-5.3654236904
28900,-8.4335314920
29000,-4.3912206427
29100,-6.6665652254
