episode,discreward
100,-16.9231555000
200,-18.4808868451
300,-18.4675077211
400,-11.8980004675
500,-17.9203636184
600,-15.9735343909
700,-22.0829342837
800,-14.1860549792
900,-13.8472452352
1000,-20.6028658608
1100,-22.1987040978
1200,-15.6679923325
1300,-17.6508104390
1400,-22.7870882025
1500,-13.3938733191
1600,-14.6242153082
1700,-12.8826112750
1800,-21.7169896161
1900,-17.2557242221
2000,-8.7899523503
2100,-12.6867458637
2200,-13.7918574694
2300,-11.2434580660
2400,-14.1564773308
2500,-15.6995367757
2600,-17.5309340010
2700,-7.6546543318
2800,-11.9068567480
2900,-5.2506423409
3000,-11.7330774189
3100,-13.7263379417
3200,-9.2795431222
3300,-8.5092524640
3400,-9.3023943499
3500,-8.0361614496
3600,-12.0087322771
3700,-6.9721943162
3800,-5.1077749270
3900,-6.5423803492
4000,-8.1972357615
4100,-6.5711180135
4200,-7.4168548555
4300,-9.0564809108
4400,-14.2589886509
4500,-10.4369191364
4600,-8.9073989144
4700,-10.6256046367
4800,-10.4575795709
4900,-6.6935295340
5000,-8.0294797681
5100,-10.3276011125
5200,-10.4712814103
5300,-5.4676421975
5400,-5.7146434325
5500,-11.2062048317
5600,-6.4502756156
5700,-5.9108659380
5800,-5.7176711658
5900,-8.7848595859
6000,-4.4703023017
6100,-11.0680739538
6200,-7.7882105926
6300,-6.8336280927
6400,-9.3598382157
6500,-6.4513198040
6600,-4.0586452300
6700,-4.2600290795
6800,-8.1784916981
6900,-9.6820545875
7000,-8.4778066777
7100,-6.6826383546
7200,-4.0486563526
7300,-6.3419076595
7400,-9.0031610489
7500,-5.1121684193
7600,-6.3064513417
7700,-10.3944786128
7800,-8.4903996318
7900,-5.3141808666
8000,-7.1760084779
8100,-4.2012698200
8200,-2.5000806079
8300,-9.0378055944
8400,-4.8461486015
8500,-1.9133249252
8600,-6.7507448701
8700,-2.7759416447
8800,-8.4760086360
8900,-5.4856582718
9000,-8.8352019029
9100,-5.5815780921
9200,-2.3700294946
9300,-5.2423243030
9400,-5.4136982588
9500,-9.2928355084
9600,-2.3764865046
9700,-6.2615755162
9800,-7.1235516942
9900,-3.9136042772
10000,-10.2683378783
10100,-5.0338586603
10200,-5.2217328600
10300,-5.1504510077
10400,-10.2254171373
10500,-3.7580150700
10600,-2.1458350693
10700,-3.6846787921
10800,-5.1677747075
10900,-8.8738247110
11000,-2.5224053716
11100,-6.5417449816
11200,-2.0109194970
11300,-4.1121841512
11400,-6.2732068418
11500,-3.8618298469
11600,-3.6111849281
11700,-3.9551873839
11800,-6.0945743260
11900,-4.3168860177
12000,-5.0709879031
12100,-4.3841172703
12200,-3.6392427980
12300,-1.5009578507
12400,-5.1427109066
12500,-2.5464317120
12600,-7.2097273552
12700,-3.7474124024
12800,-5.8660400901
12900,-7.0102462585
13000,-2.6431451200
13100,-6.8909073031
13200,-3.0588063807
13300,-5.7032411989
13400,-2.2214195923
13500,-1.9113368649
13600,-3.2087491494
13700,-0.2212976741
13800,-5.1341137611
13900,-4.3640363115
14000,-2.3710274456
14100,-1.1658153328
14200,-2.3202678780
14300,-3.1473053881
14400,-1.3055999436
14500,-4.5180223480
14600,-5.1737153910
14700,-10.2483782498
14800,-2.8619056463
14900,-6.6881455803
15000,-7.1380262386
15100,-2.8514191120
15200,-3.4805963202
15300,-3.0798193751
15400,-2.9278671113
15500,-7.4406679367
15600,-3.7779099361
15700,-2.0385121015
15800,-6.6590753543
15900,-2.6874519308
16000,-3.3600201954
16100,-3.5555204106
16200,-3.0017113581
16300,-1.0655131482
16400,-1.6450916585
16500,-5.3494367367
16600,-2.0078207616
16700,-3.3471383556
16800,-3.6239940869
16900,-3.2832334530
17000,-1.5018819239
17100,-7.2826142486
17200,-1.8350490840
17300,-4.9639881833
17400,-4.4140979035
17500,-1.0670972300
17600,-3.0994571175
17700,-4.8055967630
17800,-0.8985676484
17900,-3.0826864877
18000,-1.5553033144
18100,-4.3420160826
18200,-2.3768624779
18300,-3.8908648420
18400,-2.3156262470
18500,-1.4152613629
18600,-2.7011350001
18700,-4.8933899998
18800,-6.6001927629
18900,-1.7314678052
19000,-2.0460501848
19100,-2.3286866736
19200,-0.9731989233
19300,-4.3811364441
19400,-1.4344097921
19500,-1.5017300639
19600,-0.4537724854
19700,-4.3926795228
19800,-3.1403993270
19900,-1.1592712395
20000,-3.5317236274
20100,-2.9024277174
20200,-4.0854018115
20300,-4.9075290166
20400,-2.5509608994
20500,-4.5220153252
20600,-0.5367522699
20700,-4.7071965398
20800,-4.5462678063
20900,-2.8125845110
21000,-0.9074946695
21100,-1.4643856093
21200,-2.0057500635
21300,-2.5586942608
21400,-0.9966696391
21500,-2.5230632394
21600,-1.6009884001
21700,-3.1622212286
21800,-2.6757828355
21900,-1.5503911770
22000,-3.4373619349
22100,-0.7736567632
22200,-2.7161113740
22300,-0.8677004235
22400,-1.0023699339
22500,-7.2332176444
22600,-0.7007825704
22700,-4.1791412117
22800,-3.7542762636
22900,-1.0840885364
23000,-2.2488032162
23100,-1.8782487358
23200,-1.3597870893
23300,-3.0031021567
23400,-1.0351475256
23500,-2.2336402826
23600,-1.5232257262
23700,-3.7092600707
23800,-2.1547660767
23900,-0.6437982903
24000,-6.4402663793
24100,-1.5687605511
24200,-3.6185351727
24300,-3.1900379169
24400,-0.4105989492
24500,-1.3157038705
24600,-2.1690656928
24700,-2.5991944134
24800,-2.5477652989
24900,-2.9688840982
25000,-3.9398207062
25100,-3.7632199662
25200,-4.3908031766
25300,-2.1225613247
25400,-0.9322728413
25500,-2.5464806215
25600,-4.1805958109
25700,-0.6152123533
25800,-2.1163987579
25900,-4.4862336843
26000,-0.1150814029
26100,-1.0918593035
26200,-0.9953943403
26300,-2.4552272437
26400,-2.5068226862
26500,-0.0056958999
26600,-0.6674896777
26700,-1.1859660221
26800,-0.4665751339
26900,-2.5167158872
27000,-1.4858355718
27100,-0.2369586714
27200,-0.5308693338
27300,-3.0668806681
27400,-2.7101627439
27500,-1.5126588061
27600,-2.1008359563
27700,-3.0762233849
27800,-1.4840730583
27900,-1.4497206154
28000,-4.0502595969
28100,-0.0690215803
28200,-5.3925973392
28300,-2.5587776997
28400,-0.0089762512
28500,-2.2740684145
28600,-1.2269683294
28700,-0.2358898495
28800,-5.4971939884
28900,-0.6871829910
29000,-4.4688527447
29100,-0.1186855119
29200,-3.5685865343
29300,-1.7576308856
29400,-1.1452997144
29500,-0.6820678171
29600,-2.8374409643
29700,-2.3856530923
29800,-0.3552655265
29900,-0.1015917521
30000,-3.7398055207
30100,-0.7938988272
30200,-3.1060531579
30300,-0.7703449953
30400,-4.1963284745
30500,-2.6631262819
30600,-2.2615827147
30700,-0.3768666926
30800,-3.9198692480
30900,-0.0077838630
31000,-3.2772584147
31100,-0.5216760131
31200,-2.8908099848
31300,-0.2883216259
31400,-1.3705223596
31500,-1.8149571537
31600,-1.8359428055
31700,-2.1871150001
31800,-0.8150205347
31900,-0.1714523714
32000,-1.0485141501
32100,-2.7838196733
32200,-2.1086417021
32300,-0.0580742138
32400,-1.9843280011
32500,-2.9067836253
32600,-2.4866294029
32700,-3.7704262954
32800,-2.2685182387
32900,-1.1336725990
33000,-0.4423793300
33100,-2.1595341322
33200,-0.6599536796
33300,-1.6650953508
33400,-1.1553938426
33500,-1.6683661378
33600,-2.0346258058
33700,-0.5705719631
33800,-1.4098091133
33900,-3.5960450355
34000,-2.5887475336
34100,-3.1980084999
34200,-1.3828520871
34300,-1.4441518659
34400,-2.0040512131
34500,-0.9116918952
34600,-2.3605670161
34700,-0.7309809788
34800,-1.7054968857
34900,-0.0951232802
35000,-2.6420580497
35100,-1.6072088438
35200,-2.5896311699
