iteration,discreward
0,-1.7951215322
20,-1.0228992899
40,-0.6538184591
60,-0.7003740538
80,-0.4943379436
100,-0.3714224811
120,-0.3320001748
140,-0.3113756720
160,-0.2374268409
180,-0.2593352554
200,-0.2091500552
220,-0.1778020647
240,-0.2176702517
260,-0.2030909842
280,-0.1882746275
300,-0.1949048464
320,-0.2344601507
340,-0.2150962032
360,-0.2084616688
380,-0.2218185496
400,-0.1703578218
420,-0.1964007594
440,-0.1653080755
460,-0.2225013680
480,-0.2005940709
500,-0.1802149660
520,-0.1709187328
540,-0.2173935515
560,-0.2100306930
580,-0.1826182664
600,-0.1879001972
620,-0.1962763954
640,-0.2200537875
660,-0.2736939810
680,-0.1840390607
700,-0.2851661171
720,-0.1883010271
740,-0.2015566061
760,-0.2199725864
780,-0.2116972743
800,-0.2075563187
820,-0.1940952317
840,-0.1821633008
860,-0.1989065344
880,-0.1864037991
900,-0.1700420179
920,-0.1772681701
940,-0.1756016977
960,-0.1422028880
980,-0.2044841541
1000,-0.1745198869
1020,-0.1905494544
1040,-0.1709125474
1060,-0.2077852537
1080,-0.1646546648
1100,-0.1953598913
1120,-0.2512538609
1140,-0.2500530002
1160,-0.1927486282
1180,-0.1863167309
1200,-0.1579871235
1220,-0.2406618631
1240,-0.1904238918
1260,-0.2084692405
1280,-0.1908097983
1300,-0.1750368894
1320,-0.1699113670
1340,-0.1367127706
1360,-0.1821786643
1380,-0.1458741537
1400,-0.1771465143
1420,-0.1941624347
1440,-0.1628275169
1460,-0.1704257349
1480,-0.2000917859
1500,-0.2273284033
1520,-0.1758231564
1540,-0.1858261606
1560,-0.1716780779
1580,-0.2117693717
1600,-0.1535363597
1620,-0.1922833204
1640,-0.1744670741
1660,-0.1667794609
1680,-0.3143119697
1700,-0.2969119180
1720,-0.2175884364
1740,-0.2074594801
1760,-0.1860636531
1780,-0.3112407620
1800,-0.1885000910
1820,-0.2229465433
1840,-0.1731732869
1860,-0.1390139305
1880,-0.1710036778
1900,-0.1614586333
1920,-0.1674138764
1940,-0.3939562877
1960,-0.1501166890
1980,-0.1320894786
2000,-0.1598121389
2020,-0.2160406486
2040,-0.1636822177
2060,-0.1699702210
2080,-0.1747685985
2100,-0.1962583948
2120,-0.1870470168
2140,-0.2116107406
2160,-0.2145386346
2180,-0.1929276820
2200,-0.1923569896
2220,-0.2226977465
2240,-0.1622530125
2260,-0.1480124343
2280,-0.1787674741
2300,-0.2237474987
2320,-0.1881060475
2340,-0.1742074912
2360,-0.1841313316
2380,-0.1345161435
2400,-0.1972686998
2420,-0.2014620480
2440,-0.1638983616
2460,-0.1973204719
2480,-0.1578559330
2500,-0.1740673735
2520,-0.1485964783
2540,-0.1261875716
2560,-0.1426475010
2580,-0.1578840136
2600,-0.1556598106
2620,-0.1590817855
2640,-0.1751350974
2660,-0.2125531430
2680,-0.1600044398
2700,-0.1283454976
2720,-0.2519022132
2740,-0.1754602715
2760,-0.1661980973
2780,-0.1776975027
2800,-0.1396646949
2820,-0.1711711651
2840,-0.2298032082
2860,-0.1332097660
2880,-0.1428755084
2900,-0.1808075232
2920,-0.1915946453
2940,-0.2118508972
2960,-0.1865769309
2980,-0.2301982943
3000,-0.1628172573
3020,-0.1705110307
3040,-0.1531855568
3060,-0.1480620136
3080,-0.1615812431
3100,-0.1303142384
3120,-0.1414235704
3140,-0.1777471812
3160,-0.1259609026
3180,-0.1431326910
3200,-0.1508475799
3220,-0.2007622534
3240,-0.1942034088
3260,-0.1595919183
3280,-0.1538996983
3300,-0.1678234246
3320,-0.1543752415
3340,-0.1867539944
3360,-0.1734509775
3380,-0.1593754465
3400,-0.1858852953
3420,-0.1628721570
3440,-0.1808561345
3460,-0.1703866954
3480,-0.2055941297
3500,-0.2569857813
3520,-0.2571830291
3540,-0.1648944982
3560,-0.1397455602
3580,-0.1682622659
3600,-0.1514648744
3620,-0.1480934602
3640,-0.1975446677
3660,-0.1378109702
3680,-0.1416737758
3700,-0.1334038127
3720,-0.1717630488
3740,-0.1448346531
3760,-0.1720586747
3780,-0.1535523732
3800,-0.1776404853
3820,-0.1613322809
3840,-0.1421141679
3860,-0.1707042875
3880,-0.2230125382
3900,-0.1384892957
3920,-0.1477764761
3940,-0.1311163456
3960,-0.2071306586
3980,-0.1717895170
4000,-0.1340335002
4020,-0.1596888094
4040,-0.1729539004
4060,-0.1551372344
4080,-0.1857681263
4100,-0.1742857675
4120,-0.1607186431
4140,-0.1335498363
4160,-0.1350728879
4180,-0.1204265941
4200,-0.1855544375
4220,-0.1612994920
4240,-0.1904797669
4260,-0.1523200165
4280,-0.1652591687
4300,-0.1648706939
4320,-0.2245320724
4340,-0.2182824648
4360,-0.1701815532
4380,-0.1615492175
4400,-0.1553027972
4420,-0.2027132947
4440,-0.1573081347
4460,-0.1386933416
4480,-0.1582940425
4500,-0.1694894790
4520,-0.1439569692
4540,-0.2088471784
4560,-0.1426184483
4580,-0.1445502537
4600,-0.1626951017
4620,-0.1360187286
4640,-0.1491569596
4660,-0.1713881144
4680,-0.1482094224
4700,-0.1601597468
4720,-0.1535279436
4740,-0.2102061241
4760,-0.1973464630
4780,-0.1944604921
4800,-0.1684037642
4820,-0.1681673675
4840,-0.2275815828
4860,-0.1497570098
4880,-0.2296019336
4900,-0.1508915805
4920,-0.1866255093
4940,-0.1530418654
4960,-0.1583424127
4980,-0.1489704103
5000,-0.1653758842
5020,-0.1759770630
5040,-0.1557991894
5060,-0.1666241596
5080,-0.1472912142
5100,-0.1487565619
5120,-0.1795222767
5140,-0.1304966948
5160,-0.1460858572
5180,-0.1618106881
5200,-0.1547191706
5220,-0.1413755917
5240,-0.1539662382
5260,-0.1365591639
5280,-0.1402620735
5300,-0.1513740467
5320,-0.1755222707
5340,-0.1463963550
5360,-0.1580476902
5380,-0.1671211875
5400,-0.1711820913
5420,-0.1663232703
5440,-0.1290223930
5460,-0.1529150066
5480,-0.1823365085
5500,-0.1681331137
5520,-0.1497681384
5540,-0.1195457162
5560,-0.1864952287
5580,-0.1747857970
5600,-0.1675860532
5620,-0.1479735075
5640,-0.1492188446
5660,-0.1472720073
5680,-0.2464675638
5700,-0.1571540133
5720,-0.1438107864
5740,-0.2048640904
5760,-0.2303059981
5780,-0.2053846953
5800,-0.1800044582
5820,-0.1921301649
5840,-0.1714648612
5860,-0.1614636806
5880,-0.1797185073
5900,-0.1339314516
5920,-0.1785489449
5940,-0.2124126138
5960,-0.1366311619
5980,-0.1292025154
6000,-0.1686873941
6020,-0.1860138271
6040,-0.1887663944
6060,-0.1541371909
6080,-0.1676682109
6100,-0.1651470906
6120,-0.2379995426
6140,-0.1618502068
6160,-0.2273544326
6180,-0.2295774849
6200,-0.1828548103
6220,-0.1806550062
6240,-0.1717685780
6260,-0.1512470419
6280,-0.2082984293
6300,-0.1314780378
6320,-0.1456146866
6340,-0.1789986834
6360,-0.2413914136
6380,-0.2443710928
6400,-0.1704610391
6420,-0.1638008826
6440,-0.1678965322
6460,-0.1447032706
6480,-0.1908808322
6500,-0.1577168429
6520,-0.1559649972
6540,-0.1744470775
6560,-0.2008348131
6580,-0.2968506550
6600,-0.1846696243
6620,-0.1382687404
6640,-0.1891114638
6660,-0.1683022881
6680,-0.1673610168
6700,-0.1597621436
6720,-0.1417903765
6740,-0.1371099874
6760,-0.1822076126
6780,-0.1688000033
6800,-0.2210113442
6820,-0.2441878704
6840,-0.1696055124
6860,-0.1640360715
6880,-0.1470958288
6900,-0.0871011202
6920,-0.0898239439
6940,-0.1162163838
6960,-0.1292951442
6980,-0.1174283260
7000,-0.0699755658
7020,-0.0892940681
7040,-0.0874131717
7060,-0.1279127575
7080,-0.1164208854
7100,-0.1023792470
7120,-0.1058802026
7140,-0.1186753811
7160,-0.0626963163
7180,-0.0886701597
7200,-0.0946116431
7220,-0.0955836022
7240,-0.1479600145
7260,-0.1082340442
7280,-0.1344661552
7300,-0.1081371769
7320,-0.0824319062
7340,-0.0712408352
7360,-0.0905308041
7380,-0.0960890217
7400,-0.1058940032
7420,-0.1055917575
7440,-0.0936427300
7460,-0.1393046780
7480,-0.1226877898
7500,-0.0856440411
7520,-0.1192057499
7540,-0.1290947875
7560,-0.1253590415
7580,-0.1031405597
7600,-0.0882929386
7620,-0.0951197721
7640,-0.0809221129
7660,-0.1003318194
7680,-0.0737479716
7700,-0.0718287126
7720,-0.0706915653
7740,-0.0807779667
7760,-0.1038069676
7780,-0.1134450124
7800,-0.0889200197
7820,-0.1187530952
7840,-0.0677333915
7860,-0.1574517778
7880,-0.0957067182
7900,-0.1062741296
7920,-0.0573451133
7940,-0.0966742210
7960,-0.0994858940
7980,-0.0728476773
8000,-0.0502898618
8020,-0.0972828031
8040,-0.1056134320
8060,-0.0974482166
8080,-0.0570257234
8100,-0.0712339440
8120,-0.0844371931
8140,-0.1071554848
8160,-0.1003710656
8180,-0.0817395442
8200,-0.1069663541
8220,-0.0930493724
8240,-0.0626981390
8260,-0.0630292270
8280,-0.0932685868
8300,-0.1003750232
8320,-0.1050497381
8340,-0.0626688159
8360,-0.0573261433
8380,-0.0619298702
8400,-0.0674306385
8420,-0.0655670155
8440,-0.1109826686
8460,-0.0850362143
8480,-0.0830902595
8500,-0.0804498282
8520,-0.0533809440
8540,-0.0981625353
8560,-0.0849134403
8580,-0.1057811296
8600,-0.0935285815
8620,-0.0629058396
8640,-0.0833534400
8660,-0.1008059579
8680,-0.0701325067
8700,-0.0808387334
8720,-0.0830618155
8740,-0.0615683854
8760,-0.0913218574
8780,-0.0659474674
8800,-0.0642699245
8820,-0.0760661355
8840,-0.0643695017
8860,-0.0907783741
8880,-0.0843117600
8900,-0.0581263230
8920,-0.0684280276
8940,-0.0632006540
8960,-0.0589805545
8980,-0.0980999465
9000,-0.0941509774
9020,-0.0635329752
9040,-0.0601446602
9060,-0.0926825715
9080,-0.0915051485
9100,-0.0822184205
9120,-0.0874446131
9140,-0.0885821397
9160,-0.0601532231
9180,-0.0726442253
9200,-0.0627860229
9220,-0.1051589958
9240,-0.0823628381
9260,-0.0922685551
9280,-0.1179624694
9300,-0.0864330735
9320,-0.1001223780
9340,-0.0938465349
9360,-0.0828233140
9380,-0.1029722429
9400,-0.0616784962
9420,-0.0480757695
9440,-0.0667522375
9460,-0.0559734216
9480,-0.0493200078
9500,-0.0771765912
9520,-0.0706418197
9540,-0.0553428499
9560,-0.0632648191
9580,-0.0733383937
9600,-0.0794015697
9620,-0.1466938837
9640,-0.1420482651
9660,-0.0880103636
9680,-0.0647085003
9700,-0.0777892704
9720,-0.0739241217
9740,-0.0748719005
9760,-0.0641455788
9780,-0.1058725477
9800,-0.0907974917
9820,-0.0796733470
9840,-0.0955202128
9860,-0.0646514506
9880,-0.0466354558
9900,-0.0598550056
9920,-0.0394856743
9940,-0.0828329126
9960,-0.0710294151
9980,-0.0737661617
10000,-0.1236757181
10020,-0.1049507505
10040,-0.0893967632
10060,-0.0864999317
10080,-0.0889138284
10100,-0.0851953914
10120,-0.0981860607
10140,-0.0832557082
10160,-0.0693802562
10180,-0.0794562606
10200,-0.0867719320
10220,-0.0716774382
10240,-0.1270536031
10260,-0.1235809395
10280,-0.1714024148
10300,-0.1381359580
10320,-0.0746130032
10340,-0.0594300024
10360,-0.0759834437
10380,-0.0543063049
10400,-0.0386075120
10420,-0.0661954207
10440,-0.0738883656
10460,-0.0410551710
10480,-0.0664516237
10500,-0.0912950397
10520,-0.0807046081
10540,-0.0656314614
10560,-0.0707589943
10580,-0.0735670698
10600,-0.0968552500
10620,-0.0705778381
10640,-0.0832405110
10660,-0.0970913379
10680,-0.0932753313
10700,-0.0753786159
10720,-0.0871791767
10740,-0.0700408255
10760,-0.1009231798
10780,-0.1033783947
10800,-0.0757469990
10820,-0.1193615790
10840,-0.0860910252
10860,-0.0689059805
10880,-0.0913584650
10900,-0.0897262628
10920,-0.1042355873
10940,-0.0588754167
10960,-0.0988660429
10980,-0.0978563294
11000,-0.0898326677
11020,-0.1312092348
11040,-0.1105145649
11060,-0.0842910881
11080,-0.0976021443
11100,-0.0785576401
11120,-0.0795926859
11140,-0.0905729486
11160,-0.0566326335
11180,-0.0722476295
11200,-0.0890525984
11220,-0.0864306144
11240,-0.1147399334
11260,-0.0953018269
11280,-0.1092194259
11300,-0.0849639982
11320,-0.1261991662
11340,-0.0490179252
11360,-0.0509041759
11380,-0.1015004573
11400,-0.0788518328
11420,-0.0659639957
11440,-0.0549716758
11460,-0.1100865671
11480,-0.0897249463
11500,-0.0671206232
11520,-0.1014941423
11540,-0.0740919114
11560,-0.0595971057
11580,-0.0426051472
11600,-0.0769515425
11620,-0.0738699030
11640,-0.0566020768
11660,-0.0749921331
11680,-0.0993048912
11700,-0.0452362531
11720,-0.0621965165
11740,-0.0767516516
11760,-0.0883242241
11780,-0.0767712290
11800,-0.0412262115
11820,-0.0420570052
11840,-0.0492141529
11860,-0.0589230368
11880,-0.1010251910
11900,-0.0811697763
11920,-0.0924792686
11940,-0.0619781543
11960,-0.0767101488
11980,-0.0751414460
12000,-0.0507260680
12020,-0.0638451734
12040,-0.0502823021
12060,-0.0743404150
12080,-0.0737894723
12100,-0.0717577626
12120,-0.1151430387
12140,-0.0816651867
12160,-0.1030128136
12180,-0.0770145479
12200,-0.0765853985
12220,-0.0877823154
12240,-0.0683842856
12260,-0.0700201292
12280,-0.0590634980
12300,-0.0681457807
12320,-0.0431035618
12340,-0.0874825685
12360,-0.0482641945
12380,-0.0555090871
12400,-0.0456857752
12420,-0.0608970758
12440,-0.0583183809
12460,-0.0631259891
12480,-0.0610841055
12500,-0.0791204857
12520,-0.0798963978
12540,-0.0826864410
12560,-0.0662208722
12580,-0.0743928884
12600,-0.0597144251
12620,-0.0653815053
12640,-0.0699753381
12660,-0.0804599516
12680,-0.0951910540
12700,-0.0830753105
12720,-0.0760434642
12740,-0.0538194723
12760,-0.0927230694
12780,-0.1264095353
12800,-0.0985122923
12820,-0.0585393823
12840,-0.1018684550
12860,-0.0726343213
12880,-0.1027176715
12900,-0.0794912127
12920,-0.0994927147
12940,-0.0659323587
12960,-0.0621462111
12980,-0.0755655879
13000,-0.0735314022
13020,-0.1338793927
13040,-0.0952324772
13060,-0.0758772843
13080,-0.0703297973
13100,-0.1177267194
13120,-0.1488094837
13140,-0.1044505574
13160,-0.1135955040
13180,-0.0755486409
13200,-0.0726564718
13220,-0.1295225863
13240,-0.0892667907
13260,-0.0693753770
13280,-0.1089927412
13300,-0.0839418946
13320,-0.0921004638
13340,-0.0572329600
13360,-0.0630530263
13380,-0.1018933846
13400,-0.1038032426
13420,-0.1201250996
