episode,discreward
100,-18.7880548001
200,-19.3867351145
300,-18.4748227868
400,-14.1817925793
500,-20.9946813014
600,-22.1633585949
700,-22.6649477242
800,-14.6089278787
900,-15.4196726668
1000,-21.6381287314
1100,-22.1626918510
1200,-16.4470162443
1300,-22.2768923464
1400,-22.8656405065
1500,-18.4031586153
1600,-18.6080015576
1700,-14.6395258680
1800,-21.7208883856
1900,-20.7688681163
2000,-17.6755111179
2100,-15.9922307109
2200,-14.6407660747
2300,-16.9135869791
2400,-20.6997364507
2500,-25.0682875149
2600,-22.4831512685
2700,-22.4862454450
2800,-14.0323975420
2900,-7.0195680121
3000,-21.5953419384
3100,-19.2835145789
3200,-14.9334853913
3300,-13.8455696484
3400,-18.0570176478
3500,-17.1698613344
3600,-18.0126787773
3700,-11.8149891798
3800,-17.3792844779
3900,-13.7852387633
4000,-16.2846993195
4100,-15.9716619417
4200,-12.0423655794
4300,-14.8135282135
4400,-21.4590749754
4500,-22.6910403809
4600,-14.0404733382
4700,-14.3949212400
4800,-17.6660543319
4900,-18.9624922642
5000,-14.9390697647
5100,-20.9187061353
5200,-14.4816719236
5300,-13.2875011546
5400,-11.0171417077
5500,-16.8870370435
5600,-9.6732119831
5700,-14.8813202673
5800,-12.0703630290
5900,-19.9092713116
6000,-12.1592029526
6100,-13.0631286221
6200,-15.3735124207
6300,-13.4771790459
6400,-20.3700979837
6500,-10.8720552059
6600,-9.5634408264
6700,-9.9836781297
6800,-16.0867734588
6900,-14.6370755842
7000,-18.7063581513
7100,-11.9601768720
7200,-11.2385037523
7300,-12.4345824416
7400,-14.2831248319
7500,-14.9021455027
7600,-8.9339705549
7700,-12.2350898120
7800,-14.3743511318
7900,-12.7830053866
8000,-10.0868509142
8100,-16.3771108522
8200,-10.0152249336
8300,-14.9517896265
8400,-13.1048361068
8500,-13.3741087169
8600,-10.7451116797
8700,-13.5660317407
8800,-15.1043723142
8900,-12.0165387773
9000,-16.1689812861
9100,-12.7943051828
9200,-17.0762055593
9300,-8.6573530213
9400,-8.9027209269
9500,-11.3465774136
9600,-20.5048169519
9700,-12.4331049227
9800,-16.2325069762
9900,-5.7221601637
10000,-16.3424346109
10100,-13.5320331674
10200,-17.2465392480
10300,-11.8241116687
10400,-15.3848178948
10500,-7.9991350990
10600,-16.8795915803
10700,-10.4310343712
10800,-10.1518480080
10900,-10.0965659722
11000,-6.9141340374
11100,-14.4249682921
11200,-11.8169466815
11300,-11.7971839490
11400,-13.4773805758
11500,-9.9345766972
11600,-9.5398272807
11700,-11.7824940801
11800,-16.3669424095
11900,-13.8623355453
12000,-14.0719575156
12100,-16.4135112408
12200,-9.9758278021
12300,-8.6003171478
12400,-8.5260543236
12500,-10.9850933536
12600,-12.1712570392
12700,-11.3774114622
12800,-12.4814245078
12900,-10.1536252701
13000,-12.0546244549
13100,-10.8229099912
13200,-6.6962230435
13300,-12.1432982331
13400,-9.0519473442
13500,-10.5920002749
13600,-7.5759920658
13700,-10.5147028689
13800,-11.2727097431
13900,-6.5382625665
14000,-7.6690700483
14100,-17.8054753395
14200,-4.3460407886
14300,-7.7530053809
14400,-17.6325450528
14500,-7.6243632988
14600,-13.0252666980
14700,-18.0821411281
14800,-5.5525733496
14900,-7.2876588632
15000,-11.2277605846
15100,-15.4632139577
15200,-9.3497123462
15300,-14.0007924483
15400,-8.3822276899
15500,-12.0339450593
15600,-12.0731142850
15700,-14.3777082197
15800,-18.4175992180
15900,-7.8571535359
16000,-5.3592165209
16100,-14.7335149009
16200,-14.6156833881
16300,-13.6131467484
16400,-5.6856407062
16500,-8.1663540420
16600,-5.4370248445
16700,-7.9496437546
16800,-7.8448566492
16900,-10.7520140478
17000,-13.1301888485
17100,-11.9801566011
17200,-14.6587752898
17300,-12.8750752946
17400,-10.6492962380
17500,-10.2884015146
17600,-4.8111365955
17700,-9.2729704635
17800,-14.9531093078
17900,-7.3028780101
18000,-9.2093417759
18100,-14.9596083466
18200,-6.6241740588
18300,-8.6921049117
18400,-7.2533187307
18500,-9.9687217416
18600,-7.6694596974
18700,-13.7648061023
18800,-9.5769181984
18900,-8.7390370805
19000,-9.5003086287
19100,-11.2908793966
19200,-8.6531741907
19300,-18.6189928894
19400,-5.7133385411
19500,-5.7844743028
19600,-9.0180364550
19700,-8.2075986388
19800,-8.4421279897
19900,-11.4450236507
20000,-9.1792142783
20100,-7.2650599026
20200,-8.4524838070
20300,-7.4509937512
20400,-13.3171451423
20500,-10.0448243346
20600,-4.4752799329
20700,-8.8354232558
20800,-11.5888907211
20900,-5.7559480073
21000,-8.9863826987
21100,-3.9854686173
21200,-8.7621624304
21300,-7.5691338475
21400,-7.7365270415
21500,-11.2806865391
21600,-6.2121376666
21700,-7.7040932975
21800,-8.7245011104
21900,-15.6982891516
22000,-8.3375543449
22100,-8.9060238427
22200,-5.7987202916
22300,-10.9333174283
22400,-8.4240481941
22500,-15.6708511552
22600,-9.2929939809
22700,-7.2785730298
22800,-9.0022131105
22900,-9.9799236274
23000,-6.1969235683
23100,-7.7306299403
23200,-4.3985641935
23300,-7.3191672652
23400,-3.7652455760
23500,-6.2967743451
23600,-5.4510280494
23700,-13.8537381045
23800,-9.2474642733
23900,-5.3087482508
24000,-10.6955309555
24100,-6.3985000026
24200,-6.9077262201
24300,-7.2182759536
24400,-7.4269509512
24500,-5.3977095629
24600,-15.9131831953
24700,-6.0810001983
24800,-6.7987274332
24900,-5.4930064637
25000,-8.3696857556
25100,-16.0575504908
25200,-5.7331515362
25300,-6.2857860702
25400,-5.7445033767
25500,-8.7819040299
25600,-14.3348774412
25700,-3.4395194666
25800,-6.5739189902
25900,-10.2103616648
26000,-5.9776664660
26100,-4.6944450653
26200,-4.8297630684
26300,-6.9298944426
26400,-5.5476026801
26500,-3.8770083591
26600,-7.9197628302
26700,-4.3473386850
26800,-5.0619726086
26900,-6.1295010570
27000,-3.4708164272
27100,-3.7874522789
27200,-5.9686601846
27300,-6.3851023928
27400,-8.8143996584
27500,-8.0109547672
27600,-8.9793373131
27700,-6.2635229724
27800,-4.0287091088
27900,-7.4250304450
28000,-8.8851442051
28100,-1.8623532696
28200,-8.6155313572
28300,-9.6233709052
28400,-5.3438724075
28500,-9.9267012513
28600,-4.3723697033
28700,-3.5946106557
28800,-6.8511260438
28900,-2.8610215932
29000,-11.1984061395
29100,-4.7446696445
29200,-8.4807450528
29300,-11.9461807133
29400,-11.0932668825
29500,-4.2870005533
29600,-12.4124289150
29700,-5.7496636583
29800,-6.7369598781
29900,-7.4951037085
30000,-8.9371167737
30100,-9.3498070608
30200,-4.4378582548
30300,-7.0823293725
30400,-7.8175349382
30500,-7.4555509623
30600,-4.2701383204
30700,-7.8025487121
30800,-5.0355780828
30900,-3.3969404572
31000,-12.3866690691
31100,-2.8415132293
31200,-8.5197944333
31300,-5.5708497209
31400,-6.2366802904
31500,-4.4064577584
31600,-5.4939676413
31700,-8.8080063376
31800,-2.7050076318
31900,-9.0439458417
32000,-6.3835804466
32100,-11.2697356658
32200,-10.5277166044
32300,-4.2388946561
32400,-6.5758781908
32500,-6.8482374928
32600,-4.7475426586
32700,-7.4641996093
32800,-6.1564333127
32900,-7.1446162621
33000,-6.6576492146
33100,-5.6563432829
33200,-5.1301000807
33300,-3.6252843895
33400,-3.3335874560
33500,-7.0934483103
33600,-7.8579051631
33700,-4.6732365688
33800,-8.1099635416
33900,-7.4375708182
34000,-5.3219762258
34100,-4.7063195247
34200,-4.2442536536
34300,-8.0251109631
34400,-3.9325232459
34500,-5.1483355286
34600,-5.4976947356
34700,-5.6407215728
34800,-5.1480188762
34900,-3.4928494209
35000,-3.2785148818
35100,-8.6465490218
35200,-6.3756273577
35300,-9.9247043997
35400,-13.4866035494
35500,-5.7306520667
35600,-10.1642442138
35700,-6.8031913276
35800,-2.9019218774
35900,-5.4542692722
36000,-4.8173369943
36100,-6.5445979054
36200,-1.6954492440
36300,-8.5521802966
36400,-10.0111953667
36500,-4.3843072631
36600,-6.2018508663
36700,-5.5682007725
36800,-4.3095063656
36900,-7.4148821306
37000,-9.7235296678
37100,-8.4750636065
37200,-6.0820732255
37300,-4.6262587698
37400,-4.0050095300
37500,-12.8401034719
37600,-5.8915623597
37700,-6.2080739301
37800,-10.5533240907
37900,-8.4138767628
38000,-9.0607305917
38100,-3.9965196202
38200,-1.3413036099
38300,-6.1151647195
38400,-5.5352355239
38500,-2.7871117382
38600,-8.5300661889
38700,-5.4679887128
38800,-4.4957580771
38900,-5.6216741501
39000,-5.0706311814
39100,-4.2307103931
39200,-7.2076448358
39300,-4.0169891050
39400,-10.5955837534
39500,-3.4374579779
39600,-6.2437558089
39700,-5.5750829321
39800,-6.5845604066
39900,-5.9426399395
40000,-4.6062500618
40100,-12.0150093686
40200,-12.4477692089
40300,-2.9229843871
40400,-7.7114581905
40500,-4.9192086651
40600,-6.5594004245
40700,-7.0375424240
40800,-3.8055312316
40900,-6.5757138548
41000,-5.8908921730
41100,-1.7949851679
41200,-10.7365424450
41300,-7.0991977546
41400,-5.8385834262
41500,-4.4173871937
41600,-4.2644427105
41700,-5.3761377085
41800,-4.5237956988
41900,-3.0129883669
42000,-1.4612463612
42100,-5.3848780025
42200,-8.4736339062
42300,-6.9848088010
42400,-5.1656484490
42500,-6.0787463192
42600,-3.4320876859
42700,-6.6251187325
42800,-5.9011025469
42900,-3.9257068981
43000,-4.4324718575
43100,-4.3249109182
43200,-5.0727409072
43300,-8.5403767888
43400,-8.1233188399
43500,-2.3366649134
43600,-5.6882515974
43700,-4.0803758326
43800,-4.2206690725
43900,-9.3287196196
44000,-4.8638796401
44100,-3.3445890220
44200,-5.4320458296
44300,-4.5476117004
44400,-4.8872692934
44500,-4.4960034203
44600,-10.5044023740
44700,-6.4430518654
44800,-3.5643299759
44900,-7.0799556284
45000,-6.8785938389
45100,-4.7446864265
45200,-6.0934815102
45300,-3.1399040282
45400,-4.7949082072
45500,-3.8869768034
45600,-7.2204355545
45700,-3.6280695648
45800,-3.7839954320
45900,-5.6682220288
46000,-1.5074329411
46100,-1.6188002883
46200,-2.0737556358
46300,-3.2803548395
46400,-9.7264484827
46500,-6.7768529568
46600,-4.1900532762
46700,-6.1040323751
46800,-3.3563949059
46900,-7.4086536209
47000,-6.0837185236
47100,-5.0227725836
47200,-4.5466469909
47300,-6.6141479903
47400,-2.4084708983
47500,-3.3586164226
47600,-7.0438604930
47700,-2.2953657677
47800,-8.5156880184
47900,-3.4742842188
48000,-6.4818610143
48100,-2.8646335965
48200,-2.9938991095
48300,-4.2107508880
48400,-6.1033701142
48500,-3.0255637924
48600,-7.6050684642
48700,-3.1772307123
48800,-6.4553574288
48900,-2.3061123545
49000,-4.8899798363
49100,-8.7167481754
49200,-2.9047108216
49300,-0.6484199710
49400,-1.8921430881
49500,-6.0752413771
49600,-1.1000849515
49700,-6.4861836046
49800,-4.8265769333
49900,-5.2464426097
50000,-9.7416674472
50100,-3.1776511525
50200,-3.8959501672
50300,-9.4427561215
50400,-8.8555703067
50500,-9.1961555836
50600,-5.6000548422
50700,-7.7393642532
50800,-7.4205042160
50900,-5.3566812936
51000,-7.6629943467
51100,-5.3707781081
51200,-8.3792291229
51300,-6.3660061689
51400,-8.8000036841
51500,-7.5359701915
51600,-2.3224922328
51700,-2.8129616770
51800,-6.0779270621
51900,-6.7627113254
52000,-3.7375708606
52100,-5.0611091513
52200,-6.8414087493
52300,-3.8778822348
52400,-5.1085773907
52500,-5.9692088729
52600,-2.3187144933
52700,-7.7718942102
52800,-5.8150989653
52900,-1.1194755023
53000,-2.4533154004
53100,-3.7253518709
53200,-2.9682165708
53300,-4.2417327643
53400,-7.0782828254
53500,-3.3719539038
53600,-4.6361078622
53700,-4.9263998388
53800,-4.2215652570
53900,-8.5335077706
54000,-6.3291759869
54100,-6.6816648488
54200,-1.5333058749
54300,-6.9613552683
54400,-2.8672254491
54500,-5.2632356058
54600,-2.5306407064
54700,-3.0472833059
54800,-4.4018034151
54900,-2.7811496000
55000,-6.4389306797
55100,-1.9305346717
55200,-2.8773995584
55300,-4.2230245464
55400,-5.8302326771
55500,-0.7748768972
55600,-3.7338561376
55700,-3.3137233505
55800,-4.6022350997
55900,-3.2214796836
56000,-2.7921345849
56100,-3.8889004945
56200,-3.1851217916
56300,-2.7665553718
56400,-5.6495662671
56500,-3.6763508619
56600,-5.0756495806
56700,-4.7851040357
56800,-4.5184022031
56900,-3.6290840294
57000,-6.5663095996
57100,-2.7138026726
57200,-2.5079453506
57300,-4.7009556675
57400,-5.0003094593
57500,-1.9541660672
57600,-4.4856398176
57700,-1.0705546814
57800,-3.5517350609
57900,-3.4465474447
58000,-6.1810949459
58100,-4.4126905217
58200,-7.7730055859
58300,-1.1762318475
58400,-3.6968548627
58500,-7.9082747683
58600,-2.9122188153
58700,-5.5985861691
58800,-9.4049780779
58900,-1.4150267227
59000,-5.5413314509
59100,-9.6113317060
59200,-7.9819058493
59300,-5.7957671923
