episode,discreward
100,-18.7829311847
200,-19.3816249155
300,-18.4699894396
400,-14.1739022773
500,-20.9900119479
600,-19.9664428273
700,-22.6607570892
800,-14.0997871645
900,-15.4133641871
1000,-21.6333646257
1100,-22.1587197771
1200,-16.4418374246
1300,-22.2723336646
1400,-22.8612444532
1500,-18.3983720540
1600,-18.7198358915
1700,-14.3775492193
1800,-21.7165439075
1900,-20.6929647398
2000,-17.5168875754
2100,-15.9866139983
2200,-14.1522261373
2300,-16.8608991406
2400,-20.6947818930
2500,-24.7957246221
2600,-22.4787200275
2700,-22.1804707349
2800,-13.7943003976
2900,-7.5396704596
3000,-19.6022194839
3100,-19.7153454742
3200,-16.4567041883
3300,-14.9214649813
3400,-17.7377511647
3500,-15.3848915544
3600,-15.0938504697
3700,-11.0289013900
3800,-15.9544834807
3900,-15.0259630385
4000,-15.6476021753
4100,-15.7855615659
4200,-12.3896204326
4300,-14.8581357217
4400,-22.0919283852
4500,-23.2603364650
4600,-14.0344027600
4700,-14.3895659157
4800,-17.6154259828
4900,-15.1782431233
5000,-14.8333593909
5100,-20.8062148148
5200,-14.7051059859
5300,-14.5260955388
5400,-10.3606332481
5500,-16.8815716656
5600,-9.6921417990
5700,-16.0595780898
5800,-11.7176080266
5900,-19.7373074964
6000,-11.4871164893
6100,-13.1045450166
6200,-15.1091439342
6300,-13.0206055198
6400,-19.2205300644
6500,-9.8577353635
6600,-8.6685264351
6700,-9.9767154100
6800,-15.4131699714
6900,-14.6435815256
7000,-18.2939560628
7100,-11.1850053405
7200,-9.2476361295
7300,-12.8038574914
7400,-14.2779941638
7500,-14.6612244734
7600,-9.4883158119
7700,-9.8391642413
7800,-15.7019735810
7900,-11.4574382542
8000,-12.4665280845
8100,-12.7344595798
8200,-9.5127303374
8300,-14.9468172745
8400,-12.0480392981
8500,-13.2698945156
8600,-10.5741613116
8700,-12.1210623925
8800,-16.0866659849
8900,-11.8933279449
9000,-15.3026922054
9100,-11.8294656297
9200,-17.0707841073
9300,-8.8844552180
9400,-7.1401371860
9500,-10.9451268275
9600,-19.7783608635
9700,-12.0325187898
9800,-16.2197664511
9900,-6.3406840022
10000,-15.7940343269
10100,-12.7708295701
10200,-16.5045958669
10300,-11.7984547755
10400,-17.0287512547
10500,-6.0398136376
10600,-15.2501609613
10700,-11.0595654551
10800,-9.9608232514
10900,-8.4335160470
11000,-6.6862334364
11100,-9.7461675923
11200,-6.9418750033
11300,-11.7927817366
11400,-14.3131092847
11500,-9.0089916713
11600,-8.4464431359
11700,-11.2193793723
11800,-16.8573393119
11900,-11.4426008871
12000,-11.0089530407
12100,-14.9161900649
12200,-9.7516286556
12300,-8.1401273222
12400,-8.4162420812
12500,-9.8807117574
12600,-12.6046686629
12700,-10.6396019573
12800,-12.0731461030
12900,-9.6352006162
13000,-11.0474511758
13100,-10.7121126650
13200,-7.2102746592
13300,-13.5033488275
13400,-9.4087569995
13500,-11.3611813410
13600,-8.0532964823
13700,-11.6030737688
13800,-10.8603257078
13900,-6.4372974590
14000,-7.6825572233
14100,-16.0239147752
14200,-3.8276701643
14300,-5.6804298323
14400,-18.9795482800
14500,-5.6223572151
14600,-12.5544896077
14700,-18.4899660818
14800,-6.8250974234
14900,-6.3263768694
15000,-11.0945417548
15100,-14.1915953669
15200,-9.7341023343
15300,-13.1477588981
15400,-7.8252879490
15500,-12.1691131866
15600,-11.2238860190
15700,-12.0961077158
15800,-16.9483164652
15900,-7.7290923431
16000,-5.9152763985
16100,-11.5267511692
16200,-11.8306686200
16300,-12.3809844863
16400,-5.0694505834
16500,-7.0101956606
16600,-5.2172005822
16700,-6.3416547562
16800,-7.3665974773
16900,-10.2066581322
17000,-12.5844568720
17100,-15.4575546676
17200,-13.0483466700
17300,-11.8627292232
17400,-10.1429713975
17500,-9.7842656959
17600,-4.0113744239
17700,-7.9194372751
17800,-14.0527650892
17900,-5.5468150954
18000,-9.9912704189
18100,-13.8758375784
18200,-6.7063736210
18300,-8.2475329003
18400,-5.5696038933
18500,-9.0962076293
18600,-8.2062325576
18700,-8.9239288702
18800,-8.9374303762
18900,-7.6402210547
19000,-7.7441241908
19100,-9.5051197499
19200,-12.0321998118
19300,-14.4710758066
19400,-4.5021072170
19500,-7.1070120525
19600,-8.6511581112
19700,-8.3325753722
19800,-8.6672034823
19900,-11.4369546621
20000,-7.5758844819
20100,-9.4105223920
20200,-6.7441840593
20300,-7.0084185177
20400,-15.1984564252
20500,-9.0548108748
20600,-4.9827968623
20700,-7.4016139854
20800,-11.4530156633
20900,-6.2427424660
21000,-4.8184532808
21100,-4.7865278131
21200,-8.8907241815
21300,-6.2457357269
21400,-5.7755542251
21500,-10.6918582135
21600,-4.7647560724
21700,-6.8745033781
21800,-9.6524188591
21900,-11.5299357946
22000,-8.7752484688
22100,-8.5452354382
22200,-4.7782262138
22300,-11.5449570683
22400,-6.6977244044
22500,-16.5102901319
22600,-8.1329214331
22700,-7.0383355846
22800,-8.1561308485
22900,-7.5326738639
23000,-4.5048182995
23100,-7.3397931508
23200,-3.9120096075
23300,-6.1733723539
23400,-3.2952684442
23500,-7.0655355714
23600,-4.3372230894
23700,-14.8247286145
23800,-7.8870339981
23900,-6.4693596952
24000,-10.6866032896
24100,-6.3044985122
24200,-6.4002230926
24300,-6.7467892528
24400,-9.4589833428
24500,-6.7350109591
24600,-13.7025722512
24700,-5.0520126581
24800,-5.7544857468
24900,-8.4925110488
25000,-10.8033053567
25100,-14.9433615845
25200,-6.4552558771
25300,-7.0759081513
25400,-4.6215209299
25500,-7.0375551689
25600,-14.3118757190
25700,-2.6469208669
25800,-5.4095621406
25900,-8.6396461677
26000,-5.9683661006
26100,-5.3712479592
26200,-4.1328478951
26300,-5.0914667963
26400,-5.7509603827
26500,-2.7423577160
26600,-8.6180308871
26700,-4.2398546772
26800,-4.7972412547
26900,-4.5528462858
27000,-3.7635408002
27100,-5.9107558367
27200,-4.2896012349
27300,-7.3809362668
27400,-8.2779129975
27500,-5.2937274812
27600,-9.3143677859
27700,-6.5950967962
27800,-2.8102476511
27900,-7.2625212315
28000,-9.2986227593
28100,-3.6228926408
28200,-6.9620012102
28300,-9.5690906384
28400,-4.4578751085
28500,-9.0202867012
28600,-2.3532479038
28700,-3.7631387047
28800,-7.4751398227
28900,-3.4095840797
29000,-6.0877828258
29100,-5.2611189222
29200,-6.8365618113
29300,-11.9611586707
29400,-7.3425558819
29500,-4.0510951687
29600,-10.7736523373
29700,-3.5329480036
29800,-5.4655571312
29900,-7.5178821730
30000,-7.5626630069
30100,-7.5848649185
30200,-4.7959681462
30300,-7.2317429624
30400,-7.1108436293
30500,-8.0014501341
30600,-5.0218985601
30700,-5.5972160799
