step,stock0,stock1,stock2,stock3,stock4
1,71.382,101.377,63.372,798.085,101.446
2,54.882,97.377,52.872,714.085,67.446
3,38.382,93.377,42.372,630.085,33.446
4,21.882,89.377,31.872,546.085,69.446
5,75.382,85.377,21.372,462.085,35.446
6,58.882,81.377,80.872,378.085,131.446
7,42.382,77.377,70.372,294.085,97.446
8,25.882,73.377,59.872,210.085,63.446
9,9.382,69.377,49.372,126.085,29.446
10,62.882,65.377,38.872,42.085,125.446
11,46.382,61.377,28.372,88.085,91.446
12,29.882,57.377,17.872,134.085,57.446
13,13.382,53.377,77.372,180.085,23.446
14,66.882,49.377,66.872,96.085,119.446
15,50.382,45.377,56.372,142.085,85.446
16,33.882,41.377,45.872,258.085,51.446
17,17.382,107.377,35.372,174.085,17.446
18,70.882,103.377,24.872,90.085,113.446
19,54.382,99.377,84.372,136.085,79.446
20,37.882,95.377,73.872,182.085,45.446
21,21.382,91.377,63.372,228.085,81.446
22,74.882,87.377,52.872,144.085,47.446
23,58.382,83.377,42.372,190.085,83.446
24,41.882,79.377,31.872,236.085,49.446
25,25.382,75.377,21.372,152.085,85.446
26,8.882,71.377,80.872,198.085,51.446
27,62.382,67.377,70.372,244.085,17.446
28,45.882,63.377,59.872,160.085,53.446
29,29.382,59.377,49.372,206.085,19.446
30,12.882,55.377,38.872,122.085,55.446
31,39.565,168.993,95.810,526.919,172.944
32,23.065,164.993,85.310,442.919,138.944
33,76.565,160.993,74.810,358.919,104.944
34,60.065,156.993,64.310,274.919,70.944
35,43.565,152.993,53.810,190.919,36.944
36,27.065,148.993,43.310,236.919,72.944
37,10.565,144.993,32.810,152.919,38.944
38,64.065,140.993,22.310,68.919,134.944
39,47.565,136.993,81.810,114.919,100.944
40,31.065,132.993,71.310,160.919,66.944
41,14.565,128.993,60.810,206.919,32.944
42,68.065,124.993,50.310,122.919,128.944
43,51.565,120.993,39.810,168.919,94.944
44,35.065,116.993,29.310,214.919,60.944
45,18.565,112.993,18.810,130.919,26.944
46,72.065,108.993,8.310,46.919,122.944
47,55.565,104.993,67.810,92.919,88.944
48,39.065,100.993,57.310,138.919,54.944
49,22.565,96.993,46.810,184.919,20.944
50,76.065,92.993,36.310,100.919,116.944
51,59.565,88.993,25.810,146.919,82.944
52,43.065,84.993,15.310,192.919,48.944
53,26.565,150.993,4.810,108.919,144.944
54,10.065,146.993,64.310,154.919,110.944
55,63.565,142.993,53.810,200.919,76.944
56,47.065,138.993,43.310,116.919,42.944
57,30.565,134.993,32.810,162.919,78.944
58,14.065,130.993,22.310,208.919,44.944
59,67.565,126.993,11.810,124.919,140.944
60,51.065,122.993,71.310,170.919,106.944
61,66.536,134.079,44.353,581.730,165.124
62,50.036,130.079,33.853,497.730,131.124
63,33.536,126.079,23.353,413.730,97.124
64,17.036,122.079,82.853,329.730,63.124
65,70.536,118.079,72.353,245.730,29.124
66,54.036,114.079,61.853,161.730,65.124
67,37.536,110.079,51.353,207.730,31.124
68,21.036,106.079,40.853,123.730,67.124
69,74.536,102.079,30.353,169.730,33.124
70,58.036,98.079,19.853,215.730,69.124
71,41.536,94.079,79.353,131.730,35.124
72,25.036,90.079,68.853,177.730,71.124
73,8.536,86.079,58.353,223.730,37.124
74,62.036,82.079,47.853,139.730,133.124
75,45.536,78.079,37.353,185.730,99.124
76,29.036,74.079,26.853,231.730,65.124
77,12.536,70.079,16.353,147.730,31.124
78,66.036,66.079,5.853,63.730,127.124
79,49.536,62.079,65.353,109.730,93.124
80,33.036,58.079,54.853,155.730,59.124
81,16.536,54.079,44.353,201.730,25.124
82,70.036,50.079,33.853,117.730,121.124
83,53.536,46.079,23.353,163.730,87.124
84,37.036,42.079,12.853,209.730,53.124
85,20.536,168.079,72.353,125.730,19.124
86,74.036,164.079,61.853,41.730,115.124
87,57.536,160.079,51.353,87.730,81.124
88,41.036,156.079,40.853,133.730,47.124
89,24.536,152.079,30.353,179.730,83.124
90,78.036,148.079,19.853,225.730,49.124
91,79.343,116.894,64.673,713.606,174.109
92,62.843,112.894,54.173,629.606,140.109
93,46.343,108.894,43.673,545.606,106.109
94,29.843,104.894,33.173,461.606,72.109
95,13.343,100.894,22.673,377.606,38.109
96,66.843,96.894,12.173,293.606,134.109
97,50.343,92.894,71.673,209.606,100.109
98,33.843,88.894,61.173,125.606,66.109
99,17.343,84.894,50.673,171.606,32.109
100,70.843,80.894,40.173,87.606,128.109
101,54.343,76.894,29.673,133.606,94.109
102,37.843,72.894,19.173,179.606,60.109
103,21.343,68.894,78.673,225.606,26.109
104,74.843,64.894,68.173,141.606,122.109
105,58.343,60.894,57.673,187.606,88.109
106,41.843,56.894,47.173,233.606,54.109
107,25.343,52.894,36.673,149.606,20.109
108,8.843,48.894,26.173,65.606,56.109
109,62.343,44.894,15.673,111.606,22.109
110,45.843,40.894,5.173,27.606,118.109
111,29.343,106.894,0.000,73.606,84.109
112,12.843,102.894,59.500,119.606,50.109
113,66.343,98.894,49.000,165.606,16.109
114,49.843,94.894,38.500,211.606,52.109
115,33.343,90.894,28.000,127.606,18.109
116,16.843,86.894,17.500,43.606,54.109
117,70.343,82.894,7.000,89.606,20.109
118,53.843,78.894,0.000,135.606,56.109
119,37.343,74.894,59.500,181.606,22.109
120,20.843,70.894,49.000,227.606,58.109
121,85.616,113.466,75.254,467.862,61.358
122,69.116,109.466,64.754,383.862,27.358
123,52.616,105.466,54.254,299.862,63.358
124,36.116,101.466,43.754,215.862,29.358
125,19.616,97.466,33.254,131.862,65.358
126,73.116,93.466,22.754,177.862,31.358
127,56.616,89.466,12.254,223.862,67.358
128,40.116,85.466,71.754,139.862,33.358
129,23.616,81.466,61.254,185.862,69.358
130,77.116,77.466,50.754,231.862,35.358
131,60.616,73.466,40.254,147.862,71.358
132,44.116,69.466,29.754,193.862,37.358
133,27.616,65.466,19.254,109.862,73.358
134,11.116,61.466,78.754,155.862,39.358
135,64.616,57.466,68.254,71.862,135.358
136,48.116,53.466,57.754,117.862,101.358
137,31.616,49.466,47.254,103.862,67.358
138,15.116,115.466,36.754,149.862,33.358
139,68.616,111.466,26.254,65.862,129.358
140,52.116,107.466,15.754,111.862,95.358
141,35.616,103.466,75.254,157.862,61.358
142,19.116,99.466,64.754,203.862,27.358
143,72.616,95.466,54.254,119.862,123.358
144,56.116,91.466,43.754,165.862,89.358
145,39.616,87.466,33.254,211.862,55.358
146,23.116,83.466,22.754,127.862,21.358
147,76.616,79.466,12.254,43.862,117.358
148,60.116,75.466,71.754,89.862,83.358
149,43.616,71.466,61.254,135.862,49.358
150,27.116,67.466,50.754,181.862,85.358
151,31.247,71.692,84.114,374.390,82.119
152,14.747,67.692,73.614,290.390,48.119
153,68.247,63.692,63.114,206.390,144.119
154,51.747,59.692,52.614,122.390,110.119
155,35.247,55.692,42.114,168.390,76.119
156,18.747,51.692,31.614,214.390,42.119
157,72.247,47.692,21.114,130.390,138.119
158,55.747,113.692,10.614,176.390,104.119
159,39.247,109.692,70.114,222.390,70.119
160,22.747,105.692,59.614,138.390,36.119
161,6.247,101.692,49.114,54.390,132.119
162,59.747,97.692,38.614,100.390,98.119
163,43.247,93.692,28.114,146.390,64.119
164,26.747,89.692,17.614,192.390,30.119
165,10.247,155.692,7.114,108.390,126.119
166,63.747,151.692,0.000,154.390,92.119
167,47.247,147.692,59.500,200.390,58.119
168,30.747,143.692,49.000,116.390,24.119
169,14.247,139.692,38.500,162.390,60.119
170,67.747,135.692,28.000,208.390,26.119
171,51.247,131.692,17.500,124.390,62.119
172,34.747,127.692,77.000,170.390,28.119
173,18.247,123.692,66.500,216.390,64.119
174,71.747,119.692,56.000,132.390,30.119
175,55.247,115.692,45.500,178.390,66.119
176,38.747,111.692,35.000,224.390,32.119
177,22.247,107.692,24.500,140.390,68.119
178,75.747,103.692,14.000,186.390,34.119
179,59.247,99.692,3.500,232.390,70.119
180,42.747,95.692,63.000,148.390,36.119
181,50.720,189.390,44.269,500.885,87.802
182,34.220,185.390,33.769,416.885,53.802
183,17.720,181.390,23.269,332.885,19.802
184,71.220,177.390,12.769,248.885,115.802
185,54.720,173.390,72.269,164.885,81.802
186,38.220,169.390,61.769,210.885,47.802
187,21.720,165.390,51.269,126.885,83.802
188,75.220,161.390,40.769,172.885,49.802
189,58.720,157.390,30.269,218.885,85.802
190,42.220,153.390,19.769,134.885,51.802
191,25.720,149.390,79.269,180.885,17.802
192,9.220,145.390,68.769,226.885,53.802
193,62.720,141.390,58.269,142.885,19.802
194,46.220,137.390,47.769,188.885,55.802
195,29.720,133.390,37.269,234.885,21.802
196,13.220,129.390,26.769,150.885,57.802
197,66.720,125.390,16.269,196.885,23.802
198,50.220,121.390,5.769,242.885,59.802
199,33.720,117.390,65.269,158.885,25.802
200,17.220,113.390,54.769,204.885,61.802
201,70.720,109.390,44.269,120.885,27.802
202,54.220,105.390,33.769,166.885,63.802
203,37.720,101.390,23.269,212.885,29.802
204,21.220,97.390,82.769,128.885,125.802
205,74.720,93.390,72.269,174.885,91.802
206,58.220,89.390,61.769,220.885,57.802
207,41.720,85.390,51.269,136.885,23.802
208,25.220,81.390,40.769,182.885,59.802
209,8.720,77.390,30.269,228.885,25.802
210,62.220,73.390,19.769,144.885,121.802
211,93.536,107.957,39.349,301.583,137.687
212,77.036,103.957,28.849,217.583,103.687
213,60.536,99.957,18.349,133.583,69.687
214,44.036,95.957,77.849,179.583,35.687
215,27.536,91.957,67.349,225.583,71.687
216,11.036,87.957,56.849,141.583,37.687
217,64.536,83.957,46.349,57.583,133.687
218,48.036,79.957,35.849,103.583,99.687
219,31.536,75.957,25.349,149.583,65.687
220,15.036,71.957,14.849,195.583,31.687
221,68.536,67.957,4.349,111.583,127.687
222,52.036,63.957,63.849,157.583,93.687
223,35.536,59.957,53.349,203.583,59.687
224,19.036,55.957,42.849,119.583,25.687
225,72.536,51.957,32.349,35.583,121.687
226,56.036,47.957,21.849,81.583,87.687
227,39.536,43.957,11.349,127.583,53.687
228,23.036,109.957,0.849,173.583,19.687
229,76.536,105.957,0.000,89.583,115.687
230,60.036,101.957,59.500,135.583,81.687
231,43.536,97.957,49.000,181.583,47.687
232,27.036,93.957,38.500,97.583,83.687
233,10.536,89.957,28.000,143.583,49.687
234,64.036,85.957,17.500,59.583,145.687
235,47.536,81.957,77.000,105.583,111.687
236,31.036,77.957,66.500,91.583,77.687
237,14.536,73.957,56.000,137.583,43.687
238,68.036,69.957,45.500,53.583,139.687
239,51.536,65.957,35.000,99.583,105.687
240,35.036,61.957,24.500,145.583,71.687
241,72.488,168.896,83.318,497.881,95.340
242,55.988,164.896,72.818,413.881,61.340
243,39.488,160.896,62.318,329.881,27.340
244,22.988,156.896,51.818,245.881,63.340
245,76.488,152.896,41.318,161.881,29.340
246,59.988,148.896,30.818,207.881,65.340
247,43.488,144.896,20.318,123.881,31.340
248,26.988,140.896,9.818,169.881,67.340
249,10.488,136.896,69.318,215.881,33.340
250,63.988,132.896,58.818,131.881,129.340
251,47.488,128.896,48.318,177.881,95.340
252,30.988,124.896,37.818,223.881,61.340
