episode,discreward
100,-19.1368777744
200,-16.2927882155
300,-18.0155736922
400,-14.6014877310
500,-18.5189799613
600,-16.5796554843
700,-16.7416647836
800,-17.7280287495
900,-15.1316170498
1000,-14.3204643908
1100,-19.3952355377
1200,-13.3216471640
1300,-15.1015001231
1400,-19.4250005913
1500,-12.4477149943
1600,-16.3019838739
1700,-10.1057148648
1800,-19.3108888534
1900,-15.9930916550
2000,-16.0880643502
2100,-10.4190756211
2200,-12.2253695185
2300,-11.6630777002
2400,-16.5503913788
2500,-8.8653225014
2600,-16.2395274760
2700,-16.0669090783
2800,-11.9496278786
2900,-3.2508588018
3000,-15.9572402535
3100,-11.1101572062
3200,-13.5880296547
3300,-7.7670322179
3400,-19.3497042047
3500,-11.9387270415
3600,-7.4785688831
3700,-7.4325712832
3800,-13.8963084556
3900,-5.3848153075
4000,-7.7122125792
4100,-8.3246891248
4200,-6.4012633079
4300,-7.1304325585
4400,-15.9004042998
4500,-11.1594844810
4600,-7.8432818431
4700,-8.3515301013
4800,-11.5666330151
4900,-12.5823300574
5000,-10.4149194932
5100,-10.8017445761
5200,-5.6288976159
5300,-9.0862628382
5400,-10.0381016757
5500,-4.6343963166
5600,-10.1429365035
5700,-7.7687012475
5800,-4.9823011144
5900,-9.1943858855
6000,-5.1624363161
6100,-5.0177234719
6200,-6.9043368803
6300,-10.2133615599
6400,-8.8769261568
6500,-6.7753591473
6600,-6.7603676282
6700,-6.7644728154
6800,-13.2760011894
6900,-8.4732097206
7000,-7.4719328945
7100,-7.7772878402
7200,-6.1194088949
7300,-7.6023817401
7400,-9.2863200557
7500,-6.7788391163
7600,-4.7062905813
7700,-6.4971050368
7800,-6.7965600142
7900,-2.3376064456
8000,-6.4637841993
8100,-2.5287294849
8200,-3.7031914466
8300,-4.8677164166
8400,-3.7668230007
8500,-6.5680578983
8600,-3.8251391651
8700,-2.3109997851
8800,-6.1867987322
8900,-4.4708589770
9000,-8.7419460577
9100,-8.7170684276
9200,-5.0802227585
9300,-10.6267120013
9400,-4.9802600522
9500,-6.4632295109
9600,-3.8012419419
9700,-5.8640148199
9800,-4.6366046088
9900,-3.8269625765
10000,-8.0241522807
10100,-4.5513003352
10200,-4.6858827143
10300,-3.4620165247
10400,-3.5870988487
10500,-3.3740159060
10600,-4.1945355479
10700,-6.2351611946
10800,-4.6367444913
10900,-5.6095033037
11000,-4.0497032375
11100,-2.5053347629
11200,-1.7730766830
11300,-3.3837609957
11400,-7.5706255218
11500,-5.4420715772
11600,-3.9474372319
11700,-1.9801485506
11800,-4.1993922081
11900,-5.0576811074
12000,-10.5546943627
12100,-1.8403029761
12200,-2.7996770214
12300,-3.3534666655
12400,-4.7526667990
12500,-5.0769277101
12600,-6.7307870398
12700,-1.4076180139
12800,-3.8182145678
12900,-5.1295450277
13000,-6.4746627543
13100,-4.2525908413
13200,-5.5689596468
13300,-4.3262861424
13400,-4.4763721569
13500,-3.7641501530
13600,-4.7982269360
13700,-6.2437718194
13800,-4.3018077762
13900,-3.6331065374
14000,-3.2685356810
14100,-1.7332321292
14200,-2.6090068502
14300,-2.6584889949
14400,-3.4569495340
14500,-0.6518655238
14600,-5.6477172950
14700,-8.8884534114
14800,-2.0259300685
14900,-4.9188378842
15000,-2.4019604683
15100,-2.5384813723
15200,-3.6538850546
15300,-3.5014016687
15400,-4.1474439730
15500,-7.8854611212
15600,-2.3882913303
15700,-3.7232697760
15800,-3.9616914628
15900,-5.0009743969
16000,-1.3250719591
16100,-0.8273914169
16200,-1.6967154208
16300,-2.3027904445
16400,-4.2660329807
16500,-1.6336115089
16600,-2.2221500071
16700,-1.6728022025
16800,-2.4692055384
16900,-2.2480465114
17000,-2.0749061709
17100,-5.3103647627
17200,-1.7628690933
17300,-3.3061099796
17400,-5.0569932117
17500,-2.5060179128
17600,-1.0006472366
17700,-6.4999853120
17800,-0.6220456939
17900,-2.3316614765
18000,-0.4760584091
18100,-0.6171135536
18200,-2.0709365660
18300,-4.4705737673
18400,-5.2879750971
18500,-2.4076040195
18600,-3.5422155815
18700,-3.4475162979
18800,-5.7743540725
18900,-3.5397249715
19000,-0.1512874277
19100,-2.0458412465
19200,-1.1202380948
19300,-3.8536015378
19400,-1.6857527570
19500,-1.8668001954
19600,-3.5077362990
19700,-4.7460567891
19800,-2.0174021170
19900,-3.2042557973
20000,-0.6703252500
20100,-4.3790183071
20200,-4.2215210746
20300,-1.9468729623
20400,-4.6316714813
20500,-3.8883635014
20600,-1.9384226567
20700,-1.7625900999
20800,-3.9055279257
20900,-3.3051468345
21000,-4.4571328463
21100,-2.3636750426
21200,-7.2171530020
21300,-3.6926382351
21400,-1.5659144826
21500,-2.9041424768
21600,-1.4126665687
21700,-2.1317446831
21800,-3.3785674281
21900,-2.1983066293
22000,-0.4088204556
22100,-4.8476910043
22200,-3.4656999906
22300,-1.2543635380
22400,-3.2211513462
22500,-3.1276238893
22600,-1.1049765661
22700,-2.9611898589
22800,-2.0044237494
22900,0.0021075418
23000,-3.5627378681
23100,-2.6548078941
23200,-3.9144027165
23300,-3.1734248284
23400,-1.0812860438
23500,-5.2873489393
23600,-0.6099286427
23700,-2.6821486466
23800,-1.1524761746
23900,-2.7478737886
24000,-3.8938801536
24100,-3.2019857543
24200,-2.7803749753
24300,-4.0639822313
24400,-0.5994666300
24500,-1.6216011735
24600,-2.3233030163
24700,-1.3441642210
24800,-1.4230867923
24900,-0.9910271385
25000,-3.9586553874
25100,-1.4614423958
25200,-5.4662595492
25300,-0.8965128240
25400,-0.2564708639
25500,-1.8402584760
25600,-2.2444783758
25700,-2.8373705118
25800,-1.6747829076
25900,-2.5674171661
26000,-2.8789488601
26100,-0.2088324433
26200,-1.0662117893
26300,-3.9574382808
26400,-1.0745743392
26500,-1.6708931185
26600,-0.7871682639
26700,-0.8507135804
26800,-3.7740002240
26900,-1.5339173927
27000,-0.9058216998
27100,-2.3332968693
27200,-0.8490226644
27300,-1.3097991256
27400,-1.6128010891
27500,-0.2038500740
27600,-1.7865850849
27700,-5.3387851315
27800,-1.9403472778
27900,-2.0944634251
28000,-1.9164793226
28100,-1.8462449077
28200,-4.1388709799
28300,-2.4320770137
28400,-0.8748723181
28500,-2.7715631570
28600,-0.7587570826
28700,-2.2764516273
28800,-0.5524131627
28900,-2.9748668688
29000,-1.2989410542
29100,-1.2156223703
29200,-1.0602784648
29300,-1.2490083505
29400,-2.0258380813
29500,-2.7207909886
29600,-3.5098916119
29700,-0.6185813920
29800,-0.0918484839
