iteration,discreward
0,-1.7959284180
20,-1.0155018956
40,-0.7756953381
60,-0.6597726181
80,-0.4843458623
100,-0.3988799457
120,-0.4028820732
140,-0.2631130608
160,-0.2733635007
180,-0.2334831014
200,-0.2806010931
220,-0.3001722310
240,-0.2226576257
260,-0.1994336465
280,-0.2023166515
300,-0.1784190038
320,-0.1776557891
340,-0.2039701066
360,-0.2162846294
380,-0.2856069887
400,-0.2103642763
420,-0.1991341591
440,-0.2161906844
460,-0.1986597673
480,-0.2909257317
500,-0.1779507723
520,-0.1633361408
540,-0.1626582025
560,-0.1830498761
580,-0.1781950171
600,-0.2218760111
620,-0.2892146748
640,-0.2397518006
660,-0.4031447989
680,-0.2504615228
700,-0.2285668179
720,-0.2157157159
740,-0.2080445867
760,-0.1819068985
780,-0.2304825312
800,-0.2236052878
820,-0.2035602611
840,-0.2441468705
860,-0.1673432666
880,-0.1734044918
900,-0.2154874350
920,-0.1516097347
940,-0.2360890151
960,-0.2012195711
980,-0.1749114717
1000,-0.1698673649
1020,-0.2502121287
1040,-0.1493143389
1060,-0.1395239969
1080,-0.1794471073
1100,-0.1469506280
1120,-0.1561340599
1140,-0.2053761064
1160,-0.1723650066
1180,-0.1622626040
1200,-0.1452862587
1220,-0.1710609109
1240,-0.1803429222
1260,-0.1690413410
1280,-0.1263452598
1300,-0.1768277546
1320,-0.1831023041
1340,-0.3128424627
1360,-0.1793679841
1380,-0.1953868277
1400,-0.1454062831
1420,-0.2472330529
1440,-0.1605109909
1460,-0.1904551602
1480,-0.2131648241
1500,-0.2181559342
1520,-0.2006783701
1540,-0.1715294742
1560,-0.1595079066
1580,-0.1420741932
1600,-0.1491708290
1620,-0.2484070619
1640,-0.2529274659
1660,-0.2560117709
1680,-0.1780625795
1700,-0.1776201970
1720,-0.1708686907
1740,-0.1594766522
1760,-0.1504697422
1780,-0.1420306175
1800,-0.1661250902
1820,-0.1474085154
1840,-0.1458743913
1860,-0.1529425486
1880,-0.1926502857
1900,-0.2057903563
1920,-0.1936043690
1940,-0.1794218030
1960,-0.1341592464
1980,-0.1525195646
2000,-0.1331521837
2020,-0.1583481995
2040,-0.1500276302
2060,-0.1789310450
2080,-0.1621882370
2100,-0.1620414759
2120,-0.2067216083
2140,-0.1410002796
2160,-0.1340575258
2180,-0.1814133268
2200,-0.1436552474
2220,-0.2019732106
2240,-0.1430774456
2260,-0.1052651242
2280,-0.1496042643
2300,-0.1497605736
2320,-0.1706007252
2340,-0.1224097368
2360,-0.1236300609
2380,-0.1502333876
2400,-0.1689770674
2420,-0.1887724876
2440,-0.1304649615
2460,-0.1237569215
2480,-0.1482393618
2500,-0.1991344638
2520,-0.1405159927
2540,-0.1315686067
2560,-0.1481948575
2580,-0.1632516152
2600,-0.1664068627
2620,-0.1989020277
2640,-0.1649213587
2660,-0.1785401016
2680,-0.1659275642
2700,-0.1339966278
2720,-0.1931353991
2740,-0.1817535018
2760,-0.1822428280
2780,-0.1873665008
2800,-0.1332810153
2820,-0.1443529447
2840,-0.1821215950
2860,-0.1434168253
2880,-0.1797092633
2900,-0.1297575081
2920,-0.2116552979
2940,-0.2000681981
2960,-0.1455007262
2980,-0.1423130060
3000,-0.1203435176
3020,-0.1498288918
3040,-0.1703829773
3060,-0.1462306462
3080,-0.1533306864
3100,-0.1469901804
3120,-0.1617685200
3140,-0.1801070029
3160,-0.1616529586
3180,-0.1543598954
3200,-0.1409722967
3220,-0.1562728472
3240,-0.1557699876
3260,-0.1360710583
3280,-0.1693458062
3300,-0.1610402032
3320,-0.1340044578
3340,-0.1283357460
3360,-0.1877480270
3380,-0.1519811664
3400,-0.1678325428
3420,-0.1729284104
3440,-0.1592935000
3460,-0.1265961169
3480,-0.1302513909
3500,-0.1578035944
3520,-0.1675860212
3540,-0.1667943972
3560,-0.1532630082
3580,-0.1771244576
3600,-0.1551976885
3620,-0.1706954120
3640,-0.1376480891
3660,-0.1540955542
3680,-0.1613548118
3700,-0.1926348854
3720,-0.2025602664
3740,-0.1141928520
3760,-0.2194206702
3780,-0.1602519530
3800,-0.1373218618
3820,-0.1463522292
3840,-0.1259687260
3860,-0.1387017350
3880,-0.1295704135
3900,-0.1588997762
3920,-0.1344012465
3940,-0.1577250324
3960,-0.2068475298
3980,-0.1709835583
4000,-0.1543884466
4020,-0.1157547476
4040,-0.1325134026
4060,-0.1352421780
4080,-0.1490165576
4100,-0.1976760624
4120,-0.1540051608
4140,-0.1633725507
4160,-0.1861077502
4180,-0.1708027801
4200,-0.1549494613
4220,-0.1464125547
4240,-0.1197489240
4260,-0.1389850438
4280,-0.1313473429
4300,-0.1445830779
4320,-0.1360125499
4340,-0.1702647473
4360,-0.1869313808
4380,-0.1592043667
4400,-0.1260821490
4420,-0.1573228917
4440,-0.1548248312
4460,-0.1254435712
4480,-0.1734027990
4500,-0.1389493214
4520,-0.1373793571
4540,-0.1618760553
4560,-0.1301691930
4580,-0.1247441934
4600,-0.1579897352
4620,-0.1602216747
4640,-0.1200328113
4660,-0.1610920046
4680,-0.1862809071
4700,-0.1344674600
4720,-0.1566596588
4740,-0.1847947797
4760,-0.1716594402
4780,-0.1335314602
4800,-0.1403037370
4820,-0.1342243896
4840,-0.1364607257
4860,-0.1538896053
4880,-0.1354023037
4900,-0.1897724720
4920,-0.1973826671
4940,-0.1734475547
4960,-0.1575622089
4980,-0.1872295790
5000,-0.1529474157
5020,-0.1483201495
5040,-0.1578218026
5060,-0.1425876119
5080,-0.1626065564
5100,-0.1586133424
5120,-0.1375060585
5140,-0.1368791432
5160,-0.1601953104
5180,-0.1619407840
5200,-0.1280801810
5220,-0.1958994305
5240,-0.1747702388
5260,-0.1678765828
5280,-0.1368152566
5300,-0.1718300200
5320,-0.2346007438
5340,-0.1970992405
5360,-0.2297557434
5380,-0.1724605052
5400,-0.1908695348
5420,-0.1718746595
5440,-0.1404700370
5460,-0.1534049295
5480,-0.2132073005
5500,-0.1866642354
5520,-0.1372044012
5540,-0.1443800483
5560,-0.1590953737
5580,-0.1560314967
5600,-0.1616214052
5620,-0.1415765497
5640,-0.1410475547
5660,-0.1501492137
5680,-0.1540014930
5700,-0.1466188710
5720,-0.1441875909
5740,-0.1415825168
5760,-0.1456167725
5780,-0.1703451000
5800,-0.1540662704
5820,-0.1690177737
5840,-0.1414146971
5860,-0.1542341523
5880,-0.1410260035
5900,-0.1373025736
5920,-0.1232368609
5940,-0.1340222332
5960,-0.1496118675
5980,-0.1310894616
6000,-0.2028031861
6020,-0.2160019283
6040,-0.2155835090
6060,-0.1911658342
6080,-0.1547892344
6100,-0.1730714805
6120,-0.1812662237
6140,-0.1679620898
6160,-0.1640659444
6180,-0.1994698924
6200,-0.3779244688
6220,-0.2497406690
6240,-0.1691172347
6260,-0.1685289731
6280,-0.1669107112
6300,-0.1624532331
6320,-0.1484984205
6340,-0.1402722061
6360,-0.1548957573
6380,-0.1788905658
6400,-0.1511727078
6420,-0.1352810282
6440,-0.1996493508
6460,-0.1896779645
6480,-0.1873113373
6500,-0.1517297680
6520,-0.1586463661
6540,-0.1773959176
6560,-0.1636333002
6580,-0.1669716564
6600,-0.1862193928
6620,-0.2633992507
6640,-0.2167399841
6660,-0.1595374050
6680,-0.1269746865
6700,-0.1703941387
6720,-0.1818511811
6740,-0.1240506300
6760,-0.1692075312
6780,-0.1184151814
6800,-0.2098046644
6820,-0.1826585967
6840,-0.1980513390
6860,-0.2056989679
6880,-0.1760535050
6900,-0.2100338085
6920,-0.2214040339
6940,-0.2088636421
6960,-0.3084635250
6980,-0.4061243351
7000,-0.2493137197
7020,-0.3813559378
7040,-0.2822658550
7060,-0.3948901470
7080,-0.3443676964
7100,-0.3385132436
7120,-0.2573747284
7140,-0.1916148855
7160,-0.2092844503
7180,-0.2069673858
7200,-0.1574290323
7220,-0.2522800357
7240,-0.3339357087
7260,-0.2754002131
7280,-0.2628276133
7300,-0.2572802544
7320,-0.2399306313
7340,-0.1554694373
7360,-0.2616332334
7380,-0.1785320792
7400,-0.1930422445
7420,-0.2158050397
7440,-0.1749125952
7460,-0.1956436160
7480,-0.1770576967
7500,-0.2749530641
7520,-0.1448758699
7540,-0.2590076667
7560,-0.2130663824
7580,-0.1708492096
7600,-0.1567675473
7620,-0.1342167615
7640,-0.1296364640
7660,-0.1409584177
7680,-0.1552187940
7700,-0.1612179267
7720,-0.1520967508
7740,-0.1625985430
7760,-0.1401469262
7780,-0.1572011917
7800,-0.1746374432
7820,-0.1217160780
7840,-0.1443331809
7860,-0.1616253145
7880,-0.1621734083
