step,stock0,stock1,stock2,stock3,stock4
1,39.545,73.943,71.211,788.959,95.243
2,23.045,69.943,60.711,704.959,61.243
3,76.545,65.943,50.211,716.000,27.243
4,60.045,131.943,39.711,632.000,123.243
5,43.545,127.943,29.211,548.000,89.243
6,27.045,123.943,18.711,464.000,55.243
7,10.545,119.943,78.211,380.000,21.243
8,64.045,115.943,67.711,296.000,117.243
9,47.545,111.943,57.211,212.000,83.243
10,31.045,107.943,46.711,128.000,49.243
11,14.545,103.943,36.211,174.000,85.243
12,68.045,99.943,25.711,220.000,51.243
13,51.545,95.943,15.211,136.000,17.243
14,35.045,91.943,4.711,182.000,53.243
15,18.545,87.943,64.211,228.000,19.243
16,72.045,83.943,53.711,144.000,115.243
17,55.545,79.943,43.211,190.000,81.243
18,39.045,75.943,32.711,236.000,47.243
19,22.545,71.943,22.211,152.000,83.243
20,83.500,67.943,11.711,68.000,49.243
21,67.000,63.943,1.211,114.000,85.243
22,50.500,59.943,60.711,160.000,51.243
23,34.000,55.943,50.211,206.000,17.243
24,17.500,51.943,39.711,122.000,53.243
25,71.000,47.943,29.211,168.000,19.243
26,54.500,43.943,18.711,154.000,115.243
27,38.000,39.943,8.211,70.000,81.243
28,21.500,35.943,67.711,116.000,47.243
29,75.000,31.943,57.211,32.000,143.243
30,58.500,97.943,46.711,78.000,109.243
