step,stock0,stock1,stock2,stock3,stock4
1,39.545,73.943,71.211,788.959,95.243
2,23.045,69.943,60.711,704.959,61.243
3,76.545,65.943,50.211,716.000,27.243
4,60.045,61.943,89.500,632.000,63.243
5,43.545,57.943,79.000,548.000,29.243
6,27.045,53.943,68.500,464.000,65.243
7,10.545,49.943,58.000,380.000,31.243
8,0.000,175.943,47.500,296.000,67.243
9,53.500,171.943,37.000,342.000,33.243
10,37.000,167.943,26.500,388.000,69.243
11,20.500,163.943,16.000,434.000,35.243
12,74.000,159.943,5.500,350.000,131.243
13,57.500,155.943,65.000,266.000,97.243
14,41.000,151.943,54.500,252.000,166.000
15,24.500,147.943,44.000,168.000,132.000
16,78.000,143.943,33.500,214.000,98.000
17,61.500,139.943,23.000,130.000,64.000
18,45.000,135.943,82.500,176.000,30.000
19,28.500,131.943,72.000,222.000,66.000
20,12.000,127.943,61.500,138.000,32.000
21,65.500,123.943,51.000,54.000,128.000
22,49.000,119.943,40.500,170.000,94.000
23,32.500,115.943,30.000,216.000,60.000
24,16.000,111.943,19.500,132.000,26.000
25,69.500,107.943,9.000,48.000,122.000
26,53.000,103.943,68.500,94.000,88.000
27,36.500,99.943,58.000,210.000,54.000
28,20.000,95.943,47.500,126.000,20.000
29,73.500,91.943,37.000,42.000,116.000
30,57.000,87.943,26.500,158.000,82.000
